title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Enhancing Q&A Systems with Multilingual Text Conversion and Speech Integration: Harnessing the Power of LangChain and Large Language Models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:zYLM7Y9cAGgC,_r3-R54AAAAJ:zYLM7Y9cAGgC,"K Priya, A Kamath, KM Chandan, C Praveen, SN Omkar, SJ Aaditya","2024 8th International Conference on Computational System and Information …, 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11549795915585172497,https://serpapi.com/search.json?cites=11549795915585172497&engine=google_scholar&hl=en,11549795915585172497
Leveraging IPFS and Smart Contracts for Secure File Collaboration,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:Tyk-4Ss8FVUC,_r3-R54AAAAJ:Tyk-4Ss8FVUC,"A Kamatha, A Mamatha, B Sushma, V Thakshith, HL Chavan, R Sanjana","2024 8th International Conference on Computational System and Information …, 2024",2024,,,,
OcularInsight-VGG16 Powered Multilabel Disease Detection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:IjCSPb-OGe4C,_r3-R54AAAAJ:IjCSPb-OGe4C,"A Kamatha, K Priya, RS Ramesh","2024 8th International Conference on Computational System and Information …, 2024",2024,,,,
"“Robust Database Protection: Combining Quantum Key Distribution, Blockchain, Honeypots, TDE and AES Encryption”in IJIRCCE, Volume 12, Issue 8, August 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:Y0pCki6q_DkC,_r3-R54AAAAJ:Y0pCki6q_DkC,"RSR Akshatha Kamath, Priya K","International Journal of Innovative Research in Computer and Communication …, 2024",2024,,,,
Development and Implementation of a Fuzzy Logic‐Based Framework for the Internet of Medical Things (IoMT),https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:u-x6o8ySG0sC,_r3-R54AAAAJ:u-x6o8ySG0sC,"P Santosh Reddy, A Mamatha, A Kamath, PK Sreelatha, YN Santosh, ...","Advances in Fuzzy‐Based Internet of Medical Things (IoMT), 39-58, 2024",2024,,,,
Improving The Performance of An Advanced Algorithm for Task flow Scheduling In Cloud Computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:d1gkVwhDpl0C,_r3-R54AAAAJ:d1gkVwhDpl0C,"AK Narayana N Gourav 1 , Dr. Dayananda R B 2","Seybold Report Journal, 19, 22, 2024",2024,,,,
Prediction of Wastewater Treatment Plant Using Genetic Algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:u5HHmVD_uO8C,_r3-R54AAAAJ:u5HHmVD_uO8C,A KAMATH,,2023,,,,
"International Journal of Innovative Research in Science, Engineering and Technology",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:UeHWp8X0CEIC,_r3-R54AAAAJ:UeHWp8X0CEIC,"PA Harshitha M S , Chaithra P R,Chaithra S","International Journal of Innovative Research in Science, Engineering and …, 2018",2018,,,,
Survey Paper on HEVC Standard on Moving Object Detection in Compressed Domain to Analyze the Input Frame Verses Output Frame,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:qjMakFHDy7sC,_r3-R54AAAAJ:qjMakFHDy7sC,"MAK Ashwini V,Haritha S","IJSRD - International Journal for Scientific Research & Development| 5 (01), 2017",2017,,,,
Survey Paper on Video Compression Using HEVC and Comparision between H.264 and H.265/HEVC,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:2osOgNQ5qMEC,_r3-R54AAAAJ:2osOgNQ5qMEC,"MAK Anusha S Bhat, Shruthi N S","IJSRD - International Journal for Scientific Research & Development| 5 (01), 2017",2017,,,,
Traffic Profiling and Dynamic weight computing using dWRR for Average packet delay versus traffic load,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_r3-R54AAAAJ&pagesize=100&citation_for_view=_r3-R54AAAAJ:9yKSN-GCB0IC,_r3-R54AAAAJ:9yKSN-GCB0IC,"UMS Akshatha Kamath, Humera Siddiqua","International Journal of Advanced Networking & Applications (IJANA), 2010",2010,,,,
