title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Study on Sentence and Question Formation Using Deep Learning Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:3fE2CSJIrl8C,m6U3HGQAAAAJ:3fE2CSJIrl8C,"N Venkateswaran, R Vidhya, DA Naik, TFM Raj, N Munjal, S Boopathi","Digital Natives as a Disruptive Force in Asian Businesses and Societies, 252-273, 2023",2023,48.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9081975430125628063,https://serpapi.com/search.json?cites=9081975430125628063&engine=google_scholar&hl=en,9081975430125628063
Analyzing histopathological images by using machine learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:ufrVoPGSRksC,m6U3HGQAAAAJ:ufrVoPGSRksC,"DA Naik, RM Mohana, G Ramu, YS Lalitha, M SureshKumar, ...","Applied Nanoscience 13 (3), 2507-2513, 2023",2023,37.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7590174355685094023,https://serpapi.com/search.json?cites=7590174355685094023&engine=google_scholar&hl=en,7590174355685094023
A review of using CNN approach for lung cancer detection through machine learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:UebtZRa9Y70C,m6U3HGQAAAAJ:UebtZRa9Y70C,"M Thaseen, SK UmaMaheswaran, DA Naik, MS Aware, P Pundhir, B Pant","2022 2nd International Conference on Advance Computing and Innovative …, 2022",2022,18.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=558125605916695717,https://serpapi.com/search.json?cites=558125605916695717&engine=google_scholar&hl=en,558125605916695717
Achieving Balance Between Innovation and Security in the Cloud With Artificial Intelligence of Things: Semantic Web Control Models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:aqlVkmm33-oC,m6U3HGQAAAAJ:aqlVkmm33-oC,"R Sundar, PB Srikaanth, DA Naik, VP Murugan, M Karumudi, S Boopathi","Semantic Web Technologies and Applications in Artificial Intelligence of …, 2024",2024,14.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5722676189553881168,https://serpapi.com/search.json?cites=5722676189553881168&engine=google_scholar&hl=en,5722676189553881168
"& Sharma, A.(2022). Application of Cloud Computing Technology in Computer Secure Storage",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:5nxA0vEk-isC,m6U3HGQAAAAJ:5nxA0vEk-isC,"F Cao, L Zhang, DA Naik, JLA Gonzáles, N Verma, A Jain","Scientific Programming, 2022",2022,14.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3750699171773547543,https://serpapi.com/search.json?cites=3750699171773547543&engine=google_scholar&hl=en,3750699171773547543
Retracted: Relevance Feature Discovery in Text Mining Using NLP,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:Se3iqnhoufwC,m6U3HGQAAAAJ:Se3iqnhoufwC,"DA Naik, S Mythreyan, S Seema","2022 3rd International Conference for Emerging Technology (INCET), 1-6, 2022",2022,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4785453279298246867,https://serpapi.com/search.json?cites=4785453279298246867&engine=google_scholar&hl=en,4785453279298246867
"A novel approach to detect, analyze and block adversarial web pages",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:Wp0gIr-vW9MC,m6U3HGQAAAAJ:Wp0gIr-vW9MC,"MR Kumar, DA Naik, N Kapila, CR Mohan, CR Prasad, C Shelke, ...","International Journal of Information Technology 16 (6), 3617-3622, 2024",2024,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4446193833242476054,https://serpapi.com/search.json?cites=4446193833242476054&engine=google_scholar&hl=en,4446193833242476054
Application of Cloud Computing Technology in Computer Secure Storage.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:0EnyYjriUFMC,m6U3HGQAAAAJ:0EnyYjriUFMC,"F Cao, L Zhang, DA Naik, JLA Gonzáles, N Verma, A Jain, R Jain, ...","Scientific Programming, 2022",2022,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14091286972744920584,https://serpapi.com/search.json?cites=14091286972744920584&engine=google_scholar&hl=en,14091286972744920584
Chronic Kidney Disease Prediction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:UeHWp8X0CEIC,m6U3HGQAAAAJ:UeHWp8X0CEIC,"AV Kumar Gaurav, Darshana A. Naik, Visesh Kumar Jaiswal, Manollas M","International Journal of Computer Sciences and Engineering 7 (4), 1065 1069, 2019",2019,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12962234474906229616,https://serpapi.com/search.json?cites=12962234474906229616&engine=google_scholar&hl=en,12962234474906229616
Generative adversarial networks based method for generating photo-realistic super resolution images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=m6U3HGQAAAAJ&pagesize=100&citation_for_view=m6U3HGQAAAAJ:eQOLeE2rZwMC,m6U3HGQAAAAJ:eQOLeE2rZwMC,"DA Naik, V Sangeetha, G Sandhya","2021 Emerging Trends in Industry 4.0 (ETI 4.0), 1-6, 2021",2021,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=502401120120027612,https://serpapi.com/search.json?cites=502401120120027612&engine=google_scholar&hl=en,502401120120027612
