title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Predicting Human Personality using Multimedia by Employing Machine Learning Technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:qjMakFHDy7sC,GeaVQ2wAAAAJ:qjMakFHDy7sC,"AS Bhayyar, P Kiran, S Bylaiah","ESS Open Archive eprints 293, 29363004, 2023",2023,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13246967395123727908,https://serpapi.com/search.json?cites=13246967395123727908&engine=google_scholar&hl=en,13246967395123727908
Cognitive Psychology Behaviour Classification Using CNN+ Bi-LSTM+ CPSO on MBTI dataset,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:2osOgNQ5qMEC,GeaVQ2wAAAAJ:2osOgNQ5qMEC,"AS Bhayyar, P Kiran","ESS Open Archive eprints 318, 31859541, 2023",2023,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6802903477201918031,https://serpapi.com/search.json?cites=6802903477201918031&engine=google_scholar&hl=en,6802903477201918031
Cognitive Psychology Behavior Classification Using CNN+ BILSTM,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:Y0pCki6q_DkC,GeaVQ2wAAAAJ:Y0pCki6q_DkC,"AS Bhayyar, K Purushotham","Communication and Intelligent Systems: Proceedings of ICCIS 2024, Volume 1 1 …, 2025",2025,,,,
Hybrid optimization algorithm for analysis of influence propagation in social network.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:zYLM7Y9cAGgC,GeaVQ2wAAAAJ:zYLM7Y9cAGgC,"AS Bhayyar, K Purushotham","International Journal of Electrical & Computer Engineering (2088-8708) 15 (1), 2025",2025,,,,
Cognitive Psychology Behavior Classification Using CNN+ BiLSTM+ CPSO on MBTI Dataset,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:W7OEmFMy1HYC,GeaVQ2wAAAAJ:W7OEmFMy1HYC,"AS Bhayyar, K Purushotham","International Conference on Communication and Intelligent Systems, 269-287, 2024",2024,,,,
TotCareBot: A Comprehensive Approach Towards Enhancing Early Childhood Education through Robotics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:Tyk-4Ss8FVUC,GeaVQ2wAAAAJ:Tyk-4Ss8FVUC,"MR Chougala, B Sushma, AS Bhayyar, A Bhandarkar, PN Pavithra","2024 5th International Conference on Circuits, Control, Communication and …, 2024",2024,,,,
Analysing Perception of Credibility of a Message in Online Social Network using SmartPLS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:IjCSPb-OGe4C,GeaVQ2wAAAAJ:IjCSPb-OGe4C,"AS Bhayyar, P Kiran","2024 IEEE 5th India Council International Subsections Conference (INDISCON), 1-6, 2024",2024,,,,
Predicting Human Personality using Multimedia by Employing Machine Learning Technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:u-x6o8ySG0sC,GeaVQ2wAAAAJ:u-x6o8ySG0sC,"SB Akshata S Bhayyar*1 , Kiran P 2","SeyBold-Report 18 (Vol. 18. No. 9. 2023), 2023",2023,,,,
Sentiment Analysis on Karnatakaelection2023 Twitter Dataset Using Machine Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:9yKSN-GCB0IC,GeaVQ2wAAAAJ:9yKSN-GCB0IC,"AS Bhayyar, P Kiran, S Bylaiah, K Keerthi, JH Ravisha","2023 IEEE International Conference on Blockchain and Distributed Systems …, 2023",2023,,,,
Detection of Rumour Source on Online Social Network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=GeaVQ2wAAAAJ&pagesize=100&citation_for_view=GeaVQ2wAAAAJ:d1gkVwhDpl0C,GeaVQ2wAAAAJ:d1gkVwhDpl0C,"AS Bhayyar, P Kiran","2021 International Conference on Circuits, Controls and Communications …, 2021",2021,,,,
