title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Automatic text summarization model using Seq2Seq technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:u5HHmVD_uO8C,QkJ9Kh0AAAAJ:u5HHmVD_uO8C,"C Prasad, JS Kallimani, D Harekal, N Sharma","2020 Fourth International Conference on I-SMAC (IoT in Social, Mobile …, 2020",2020,17.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2670061401350446185,https://serpapi.com/search.json?cites=2670061401350446185&engine=google_scholar&hl=en,2670061401350446185
Classification of abusive comments using various machine learning algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:UeHWp8X0CEIC,QkJ9Kh0AAAAJ:UeHWp8X0CEIC,"CP Chandrika, JS Kallimani","Cognitive Informatics and Soft Computing: Proceeding of CISC 2019, 255-262, 2020",2020,10.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8562674356673109287,https://serpapi.com/search.json?cites=8562674356673109287&engine=google_scholar&hl=en,8562674356673109287
Authorship attribution for Kannada text using profile based approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:YsMSGLbcyi4C,QkJ9Kh0AAAAJ:YsMSGLbcyi4C,"CP Chandrika, JS Kallimani","Proceedings of the 2nd International Conference on Recent Trends in Machine …, 2022",2022,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7882255787619018556,https://serpapi.com/search.json?cites=7882255787619018556&engine=google_scholar&hl=en,7882255787619018556
Prediction of authorship using various classification algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:qjMakFHDy7sC,QkJ9Kh0AAAAJ:qjMakFHDy7sC,"C Prasad, JS Kallimani, S Jain","2017 International Conference on Advances in Computing, Communications and …, 2017",2017,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16873369306350211367,https://serpapi.com/search.json?cites=16873369306350211367&engine=google_scholar&hl=en,16873369306350211367
Efficient facial expression recognition using deep learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:8k81kl-MbHgC,QkJ9Kh0AAAAJ:8k81kl-MbHgC,"DK S Seema, BJ Sowmya, P Chandrika","Book Deep Learning Applications for Cyber-Physical Systems, 99-118, 2022",2022,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17498614231627871787,https://serpapi.com/search.json?cites=17498614231627871787&engine=google_scholar&hl=en,17498614231627871787
Extractive Text Summarization of Kannada Text Documents Using Page Ranking Technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:eQOLeE2rZwMC,QkJ9Kh0AAAAJ:eQOLeE2rZwMC,"CP Chandrika, JS Kallimani","Intelligent Data Communication Technologies and Internet of Things, 683-695, 2022",2022,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9533499495347686236,https://serpapi.com/search.json?cites=9533499495347686236&engine=google_scholar&hl=en,9533499495347686236
Authorship identification using supervised learning and n-grams for Hindi language,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:zYLM7Y9cAGgC,QkJ9Kh0AAAAJ:zYLM7Y9cAGgC,"JS Kallimani, CP Chandrika, A Singh, Z Khan","Journal of Computational and Theoretical Nanoscience 17 (9-10), 4258-4261, 2020",2020,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14361752053431531513,https://serpapi.com/search.json?cites=14361752053431531513&engine=google_scholar&hl=en,14361752053431531513
Intelligent conversational ai for microsoft teams with actionable insights,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:UebtZRa9Y70C,QkJ9Kh0AAAAJ:UebtZRa9Y70C,"D Deena, C Prasad, J Geetha","2024 8th International Conference on Computational System and Information …, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15219785301170380590,https://serpapi.com/search.json?cites=15219785301170380590&engine=google_scholar&hl=en,15219785301170380590
Instance Based Authorship Attribution for Kannada Text Using Amalgamation of Character and Word N-grams Technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:ufrVoPGSRksC,QkJ9Kh0AAAAJ:ufrVoPGSRksC,"CP Chandrika, JS Kallimani","Distributed Computing and Optimization Techniques: Select Proceedings of …, 2022",2022,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9684780162273075588,https://serpapi.com/search.json?cites=9684780162273075588&engine=google_scholar&hl=en,9684780162273075588
Word Sense Disambiguation for Indian Regional Language Using BERT Model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QkJ9Kh0AAAAJ&pagesize=100&citation_for_view=QkJ9Kh0AAAAJ:WF5omc3nYNoC,QkJ9Kh0AAAAJ:WF5omc3nYNoC,"CP Chandrika, JS Kallimani","Smart Intelligent Computing and Applications, Volume 2: Proceedings of Fifth …, 2022",2022,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15715305676480478459,https://serpapi.com/search.json?cites=15715305676480478459&engine=google_scholar&hl=en,15715305676480478459
