title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Research on software testing techniques and software automation testing tools,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:d1gkVwhDpl0C,geX_RLEAAAAJ:d1gkVwhDpl0C,"K Sneha, GM Malle","2017 international conference on energy, communication, data analytics and …, 2017",2017,148.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13853157292922477344,https://serpapi.com/search.json?cites=13853157292922477344&engine=google_scholar&hl=en,13853157292922477344
Fake product identification system using blockchain,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:WF5omc3nYNoC,geX_RLEAAAAJ:WF5omc3nYNoC,"M Mallegowda, A Kanavalli, MN Thippeswamy, K Gupta, L Khandelwal, ...","2022 4th International Conference on Circuits, Control, Communication and …, 2022",2022,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6754603596827625304,https://serpapi.com/search.json?cites=6754603596827625304&engine=google_scholar&hl=en,6754603596827625304
Prediction of air quality index using machine data learning on atmospheric.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:Y0pCki6q_DkC,geX_RLEAAAAJ:Y0pCki6q_DkC,"M Mallegowda, A Kanavalli, Y Verma, SJK Vamsi, T Mukesh, ...",,2021,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11911007836515714120,https://serpapi.com/search.json?cites=11911007836515714120&engine=google_scholar&hl=en,11911007836515714120
Intelligent transportation system based on the principles of service-oriented architecture,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:u-x6o8ySG0sC,geX_RLEAAAAJ:u-x6o8ySG0sC,"M Mallegowda, V Nete, A Kanavalli","2015 Twelfth International Conference on Wireless and Optical Communications …, 2015",2015,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11479735691235838307,https://serpapi.com/search.json?cites=11479735691235838307&engine=google_scholar&hl=en,11479735691235838307
The power of virtual reality-next-gen radiology training,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:bFI3QPDXJZMC,geX_RLEAAAAJ:bFI3QPDXJZMC,"A Ahmed, S Rajarajeswari, M Mallegowda, N Subash","2024 15th International Conference on Computing Communication and Networking …, 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17005399410760166343,https://serpapi.com/search.json?cites=17005399410760166343&engine=google_scholar&hl=en,17005399410760166343
Movement Mode Harmony Search Based Multi-objective Firefly Algorithm Feature Selection for Detecting the Security Threats in Virtual Machine.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:cFHS6HbyZ2cC,geX_RLEAAAAJ:cFHS6HbyZ2cC,"ANN Kumar, M Mallegowda, AVK Mohan, KN Shreenath, CK Raju","International Journal of Intelligent Engineering & Systems 17 (1), 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17618222969393236106,https://serpapi.com/search.json?cites=17618222969393236106&engine=google_scholar&hl=en,17618222969393236106
SOA-Based Middleware Framework for IoT Applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:EUQCXRtRnyEC,geX_RLEAAAAJ:EUQCXRtRnyEC,"M Mallegowda, P Sarashetti, A Kanavalli","Proceedings of Second International Conference on Sustainable Expert Systems …, 2022",2022,3.0,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8377901378910942807,13514491288674616726",https://serpapi.com/search.json?cites=8377901378910942807%2C13514491288674616726&engine=google_scholar&hl=en,"8377901378910942807,13514491288674616726"
Fruit classification based on freshness,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:D03iK_w7-QYC,geX_RLEAAAAJ:D03iK_w7-QYC,"M Mallegowda, RG Sanskar, N VISHVESHWARA, GA Safwan, J Vivek","2024 International Conference on Emerging Techniques in Computational …, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5324181466964239520,https://serpapi.com/search.json?cites=5324181466964239520&engine=google_scholar&hl=en,5324181466964239520
Crop-Wise precision farming with integration of ML and IoT,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:yD5IFk8b50cC,geX_RLEAAAAJ:yD5IFk8b50cC,"M Mallegowda, A Kanavalli, SJ Patil, SS Kumar, VV Divate, MSV Patel","International Conference on Advances in Information Communication Technology …, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8830684437882702403,https://serpapi.com/search.json?cites=8830684437882702403&engine=google_scholar&hl=en,8830684437882702403
Improving vehicle perception through image stitching: A serial and parallel evaluation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:CHSYGLWDkRkC,geX_RLEAAAAJ:CHSYGLWDkRkC,"M Mallegowda, NG Viswanath, N Polepalli, N Ganga","2025 4th OPJU International Technology Conference (OTCON) on Smart Computing …, 2025",2025,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12885134497790959559,https://serpapi.com/search.json?cites=12885134497790959559&engine=google_scholar&hl=en,12885134497790959559
Revolutionizing Knee Surgery Education Using Virtual Reality in Medical Training,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:4OULZ7Gr8RgC,geX_RLEAAAAJ:4OULZ7Gr8RgC,"N Subash, M Mallegowda","2024 IEEE International Conference on Electronics, Computing and …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13303244671385790245,https://serpapi.com/search.json?cites=13303244671385790245&engine=google_scholar&hl=en,13303244671385790245
Enhancing Image Fidelity through Denoising and Style GAN Techniques with Serial and Parallel Computation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=geX_RLEAAAAJ&pagesize=100&citation_for_view=geX_RLEAAAAJ:hqOjcs7Dif8C,geX_RLEAAAAJ:hqOjcs7Dif8C,"M Mallegowda, P Rajodiya, S Samruddha, SA Alex, A Kanavalli","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18429839204796467442,https://serpapi.com/search.json?cites=18429839204796467442&engine=google_scholar&hl=en,18429839204796467442
