title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
ObjectDetect: A Real-Time Object Detection Framework for Advanced Driver Assistant Systems Using YOLOv5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:BwyfMAYsbu0C,DIJx__kAAAAJ:BwyfMAYsbu0C,"JS Murthy, GM Siddesh, WC Lai","Wireless Communications and Mobile Computing, 2022",2022,111.0,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4970797873867185199,6056828667445680874",https://serpapi.com/search.json?cites=4970797873867185199%2C6056828667445680874&engine=google_scholar&hl=en,"4970797873867185199,6056828667445680874"
A real-time twitter trend analysis and visualization framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:zLWjf1WUPmwC,DIJx__kAAAAJ:zLWjf1WUPmwC,"JS Murthy, GM Siddesh, KG Srinivasa","International Journal on Semantic Web and Information Systems (IJSWIS) 15 (2 …, 2019",2019,18.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16706116131132459051,https://serpapi.com/search.json?cites=16706116131132459051&engine=google_scholar&hl=en,16706116131132459051
TwitSenti: a real-time Twitter sentiment analysis and visualization framework,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:ipzZ9siozwsC,DIJx__kAAAAJ:ipzZ9siozwsC,"JS Murthy, GM Siddesh, KG Srinivasa","Journal of Information & Knowledge Management 18 (02), 1950013, 2019",2019,16.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14166809502744940433,https://serpapi.com/search.json?cites=14166809502744940433&engine=google_scholar&hl=en,14166809502744940433
A smart video analytical framework for sarcasm detection using novel adaptive fusion network and SarcasNet-99 model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:j8SEvjWlNXcC,DIJx__kAAAAJ:j8SEvjWlNXcC,"JS Murthy, GM Siddesh","The Visual Computer 40 (11), 8085-8097, 2024",2024,14.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2867202582935244464,https://serpapi.com/search.json?cites=2867202582935244464&engine=google_scholar&hl=en,2867202582935244464
Edgecloud: A distributed management system for resource continuity in edge to cloud computing environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:nrtMV_XWKgEC,DIJx__kAAAAJ:nrtMV_XWKgEC,JS Murthy,"Research Anthology on Architectures, Frameworks, and Integration Strategies …, 2021",2021,12.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12736158203992884747,https://serpapi.com/search.json?cites=12736158203992884747&engine=google_scholar&hl=en,12736158203992884747
A distributed framework for real-time twitter sentiment analysis and visualization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:yB1At4FlUx8C,DIJx__kAAAAJ:yB1At4FlUx8C,"JS Murthy, GM Siddesh, KG Srinivasa","Recent Findings in Intelligent Computing Techniques: Proceedings of the 5th …, 2018",2018,12.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11619327032148265841,https://serpapi.com/search.json?cites=11619327032148265841&engine=google_scholar&hl=en,11619327032148265841
"Cloud Security: Concepts, Applications and Practices",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:0KyAp5RtaNEC,DIJx__kAAAAJ:0KyAp5RtaNEC,"JS Murthy, GM Siddesh, KG Srinivasa","Taylor and Francis, CRC Press, 2024",2024,11.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12265135551315042078,https://serpapi.com/search.json?cites=12265135551315042078&engine=google_scholar&hl=en,12265135551315042078
A real-time quantum-conscious multimodal option mining framework using deep learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:EkHepimYqZsC,DIJx__kAAAAJ:EkHepimYqZsC,"JS Murthy, S Matt","IAES International Journal of Artificial Intelligence 11 (3), 1019, 2022",2022,11.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15251645017278888655,https://serpapi.com/search.json?cites=15251645017278888655&engine=google_scholar&hl=en,15251645017278888655
AI Based Criminal Detection and Recognition System for Public Safety and Security using novel CriminalNet-228,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:XD-gHx7UXLsC,DIJx__kAAAAJ:XD-gHx7UXLsC,"JS Murthy, GM Siddesh","International Conference on Frontiers in Computing and Systems, 3-20, 2023",2023,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9047159830522482553,https://serpapi.com/search.json?cites=9047159830522482553&engine=google_scholar&hl=en,9047159830522482553
A Real-Time Framework for Automatic Sarcasm Detection Using Proposed Tensor-DNN-50 Algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:-_dYPAW6P2MC,DIJx__kAAAAJ:-_dYPAW6P2MC,"JS Murthy, GM Siddesh","International Conference on Frontiers in Computing and Systems, 109-124, 2023",2023,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1561931410885801785,https://serpapi.com/search.json?cites=1561931410885801785&engine=google_scholar&hl=en,1561931410885801785
A Real-Time Driver Assistance System Using Object Detection and Tracking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DIJx__kAAAAJ&pagesize=100&citation_for_view=DIJx__kAAAAJ:9Nmd_mFXekcC,DIJx__kAAAAJ:9Nmd_mFXekcC,"JS Murthy, SS Chitlapalli, UN Anirudha, V Subramanya","International Conference on Advances in Computing and Data Sciences, 150-159, 2022",2022,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9116199763509363299,https://serpapi.com/search.json?cites=9116199763509363299&engine=google_scholar&hl=en,9116199763509363299
