title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
A particle swarm optimization method for tuning the parameters of multiscale retinex based color image enhancement,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:u5HHmVD_uO8C,adfesocAAAAJ:u5HHmVD_uO8C,"MC Hanumantharaju, VNM Aradhya, M Ravishankar, A Mamatha","Proceedings of the International Conference on Advances in Computing …, 2012",2012,15.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2323015139223288936,https://serpapi.com/search.json?cites=2323015139223288936&engine=google_scholar&hl=en,2323015139223288936
Voice based e-mail system for visually impaired,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:9yKSN-GCB0IC,adfesocAAAAJ:9yKSN-GCB0IC,"A Mamatha, V Jade, J Saravana, A Purshotham, AV Suhas","International Journal of Research in Engineering, Science and Management 3 …, 2020",2020,11.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4800018364753360143,https://serpapi.com/search.json?cites=4800018364753360143&engine=google_scholar&hl=en,4800018364753360143
Trends and Prospectus of Block Chain Technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:ufrVoPGSRksC,adfesocAAAAJ:ufrVoPGSRksC,"M Vaneeta, V Sangeetha, A Mamatha, A Kanavalli","Blockchain for IoT Systems: Concept, Framework and Applications, 78, 2024",2024,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15217163248649941389,https://serpapi.com/search.json?cites=15217163248649941389&engine=google_scholar&hl=en,15217163248649941389
Object Detection for Visually Impaired Using MobileNetV2 and YOLOv3 Models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:_FxGoFyzp5QC,adfesocAAAAJ:_FxGoFyzp5QC,"KS Rokhade, V Sangeetha, A Mamatha","2024 Second International Conference on Networks, Multimedia and Information …, 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7602683664305178457,https://serpapi.com/search.json?cites=7602683664305178457&engine=google_scholar&hl=en,7602683664305178457
Managing and Controlling the COVID-19 Pandemic: The Role of Humanoid Robots,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:WF5omc3nYNoC,adfesocAAAAJ:WF5omc3nYNoC,"A Mamatha, V Sangeetha, A Parkavi, PK Sreelatha","Modelling of Virtual Worlds Using the Internet of Things, 198-216, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=421291429426501577,https://serpapi.com/search.json?cites=421291429426501577&engine=google_scholar&hl=en,421291429426501577
Artificial intelligence in medical and healthcare service: Applications and challenges,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:qjMakFHDy7sC,adfesocAAAAJ:qjMakFHDy7sC,"V Sangeetha, A Mamatha, M Vaneeta, K Beena","Modern Healthcare Marketing in the Digital Era, 116-130, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12128537126931058833,https://serpapi.com/search.json?cites=12128537126931058833&engine=google_scholar&hl=en,12128537126931058833
A Block Chain-Based Digital Asset Management System for Collaborative,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:5nxA0vEk-isC,adfesocAAAAJ:5nxA0vEk-isC,"A Mamatha, M Vaneeta, U Sulthana, J Ranjitha","Proceedings of International Conference on Information Technology and …, 2025",2025,,,,
Enhanced VANET Communication: Fractional Order Water Flow Optimization and Secure Communication via Spatial Bayesian Neural Network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:hqOjcs7Dif8C,adfesocAAAAJ:hqOjcs7Dif8C,"MK Kirubakaran, P Santosh Reddy, A Mamatha, J Vellingiri","International Journal of Communication Systems 38 (12), e70147, 2025",2025,,,,
A Hybrid Convolutional and Graph Attention Network Architecture for the Classification of Fetal Brain Abnormalities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:0EnyYjriUFMC,adfesocAAAAJ:0EnyYjriUFMC,"GD Nidhi, A Mamatha, V Sangeetha","2025 6th International Conference on Inventive Research in Computing …, 2025",2025,,,,
Real-Time Multilingual Communication System Using CNNs for Bidirectional Sign and Speech Translation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=adfesocAAAAJ&pagesize=100&citation_for_view=adfesocAAAAJ:UebtZRa9Y70C,adfesocAAAAJ:UebtZRa9Y70C,"VG Swamy Rao, R Mamatha A, China Appala Naidu","2025 International Conference on Intelligent and Innovative Technologies in …, 2025",2025,,,,
