title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Revolutionizing transportation infrastructure and communication technology through blockchain and 5G simulation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:zYLM7Y9cAGgC,nFIWEyQAAAAJ:zYLM7Y9cAGgC,"DA Naik, CS Soumya, J Mahadesh, JA Braganza, P Singh, R Nanda","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=210679417816988123,https://serpapi.com/search.json?cites=210679417816988123&engine=google_scholar&hl=en,210679417816988123
Techniques in Virtual Reality,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:IjCSPb-OGe4C,nFIWEyQAAAAJ:IjCSPb-OGe4C,"BN Pramod, N Pallavi, G Sathisha, BM Bhargav, D Harshitha, R Karan","2019 International Conference on Information and Communication Technology …, 2019",2019,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10157204194453331162,https://serpapi.com/search.json?cites=10157204194453331162&engine=google_scholar&hl=en,10157204194453331162
Optimizing Dragon Fruit Quality and Maturity Classification Through Deep Learning Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:eQOLeE2rZwMC,nFIWEyQAAAAJ:eQOLeE2rZwMC,"N Pallavi, P Vijayakarthik, S Bylaiah","SN Computer Science 6 (6), 652, 2025",2025,,,,
Disease Detection in Pitahaya Plant Using Vi T,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:WF5omc3nYNoC,nFIWEyQAAAAJ:WF5omc3nYNoC,"N Pallavi, P Vijayakarthik, S Harshitha","2025 Second International Conference on Cognitive Robotics and Intelligent …, 2025",2025,,,,
Proactive Memory Efficient DDOS Attack Detection at IoT Gateways Through Microneural Networks with Jellyfish Optimizer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:W7OEmFMy1HYC,nFIWEyQAAAAJ:W7OEmFMy1HYC,"L Manjula, GT Raju, N Pallavi","SN Computer Science 6 (5), 535, 2025",2025,,,,
Evaluation of Rust and Java gRPC Services for Automatic Speech Recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:YsMSGLbcyi4C,nFIWEyQAAAAJ:YsMSGLbcyi4C,"N Pallavi, L Manjula, S Nair, M Animesh, S Khirwal, V Mishra","2025 International Conference on Knowledge Engineering and Communication …, 2025",2025,,,,
Hobby Based Learning for Automata Theory and Computability,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:UeHWp8X0CEIC,nFIWEyQAAAAJ:UeHWp8X0CEIC,"N Pallavi, A Darshna, L Naik Manjula, P Keerthi","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,,,,
A Quantum Approach for Text based Steganography.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:Tyk-4Ss8FVUC,nFIWEyQAAAAJ:Tyk-4Ss8FVUC,"DA Naik, AK Rai, AK Jha, A Bindal, SS Chauhan","Grenze International Journal of Engineering & Technology (GIJET) 10, 2024",2024,,,,
Enhanced Supervision of Indoor Surveillance Video Using Deep Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:Y0pCki6q_DkC,nFIWEyQAAAAJ:Y0pCki6q_DkC,"CS Soumya, L Manjula, N Pallavi",,2023,,,,
HbA1c: A Study on Connectivity Between Measurement of HbA1c and Hospital Readmission,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nFIWEyQAAAAJ&pagesize=100&citation_for_view=nFIWEyQAAAAJ:qjMakFHDy7sC,nFIWEyQAAAAJ:qjMakFHDy7sC,P N,"International Journal of Creative Research Thoughts(IJCRT) 5 (4), 25-39, 2017",2017,,,,
