title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
A Similarity based K-Means Clustering Technique for Categorical Data in Data Mining Application.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:MXK_kJrjxJIC,CF_Afu8AAAAJ:MXK_kJrjxJIC,"P Kumar, A Kanavalli","International Journal of Intelligent Engineering & Systems 14 (2), 2021",2021,18.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11660548484668466541,https://serpapi.com/search.json?cites=11660548484668466541&engine=google_scholar&hl=en,11660548484668466541
A comparative study of classifiers for music genre classification based on feature extractors,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:d1gkVwhDpl0C,CF_Afu8AAAAJ:d1gkVwhDpl0C,"DP Kumar, BJ Sowmya, KG Srinivasa","2016 IEEE Distributed Computing, VLSI, Electrical Circuits and Robotics …, 2016",2016,17.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17053252648552193215,https://serpapi.com/search.json?cites=17053252648552193215&engine=google_scholar&hl=en,17053252648552193215
Enabling technologies for fog computing in healthcare 4.0: Challenges and future implications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:2osOgNQ5qMEC,CF_Afu8AAAAJ:2osOgNQ5qMEC,"R Hanumantharaju, D Pradeep Kumar, BJ Sowmya, GM Siddesh, ...","Fog Computing for Healthcare 4.0 Environments: Technical, Societal, and …, 2020",2020,11.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9955004273679923190,https://serpapi.com/search.json?cites=9955004273679923190&engine=google_scholar&hl=en,9955004273679923190
"Chetan; Srinivasa, KG A Comparative Study of Classifiers for Music Genre Classification Based on Feature Extractors",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:WF5omc3nYNoC,CF_Afu8AAAAJ:WF5omc3nYNoC,"DP Kumar, BJ Sowmya","Proceedings of the 2016 IEEE Distributed Computing, VLSI, Electrical …, 2016",2016,10.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9286898518400721624,https://serpapi.com/search.json?cites=9286898518400721624&engine=google_scholar&hl=en,9286898518400721624
Adaptive hybridized meta-heuristic algorithm for subspace clustering on high dimensional data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:KlAtU1dfN6UC,CF_Afu8AAAAJ:KlAtU1dfN6UC,"D Kumar, BJ Sowmya, A Kanavalli, TN Amaresh, S Anish","Journal of Advances in Information Technology 14 (5), 1103-1116, 2023",2023,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9059742261490313006,https://serpapi.com/search.json?cites=9059742261490313006&engine=google_scholar&hl=en,9059742261490313006
Identification of authorship and prevention of fraudulent transactions/cybercrime using efficient high performance machine learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:LkGwnXOMwfcC,CF_Afu8AAAAJ:LkGwnXOMwfcC,"BJ Sowmya, R Hanumantharaju, DP Kumar, KG Srinivasa","International Journal of Business Intelligence and Data Mining 22 (1-2), 144-169, 2023",2023,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10426520051183295789,https://serpapi.com/search.json?cites=10426520051183295789&engine=google_scholar&hl=en,10426520051183295789
Mitigation of Controller induced DDoS Attack on Primary Server in High Traffic Scenarios of Software Defined Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:Y0pCki6q_DkC,CF_Afu8AAAAJ:Y0pCki6q_DkC,"R Sanjeetha, A Prasanna, DP Kumar, A Kanavalli","2018 IEEE International Conference on Advanced Networks and …, 2018",2018,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3400149085694951824,https://serpapi.com/search.json?cites=3400149085694951824&engine=google_scholar&hl=en,3400149085694951824
ABC-DE-WOA: A New Hybrid Algorithm for Optimization Problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:roLk4NBRz8UC,CF_Afu8AAAAJ:roLk4NBRz8UC,"P Kumar, BJ Sowmya, A Kanavalli, A Vincent","2022 4th International Conference on Circuits, Control, Communication and …, 2022",2022,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6111859659196210843,https://serpapi.com/search.json?cites=6111859659196210843&engine=google_scholar&hl=en,6111859659196210843
A Framework for a Secure e-Health Care System Using IoT-Based Blockchain Technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:Tyk-4Ss8FVUC,CF_Afu8AAAAJ:Tyk-4Ss8FVUC,"T Sanjana, BJ Sowmya, DP Kumar, KG Srinivasa","Blockchain Technology for Data Privacy Management, 253-273, 2021",2021,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2218370137787588234,https://serpapi.com/search.json?cites=2218370137787588234&engine=google_scholar&hl=en,2218370137787588234
A VQA System for Medical Image Classification Using Transfer Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:YsMSGLbcyi4C,CF_Afu8AAAAJ:YsMSGLbcyi4C,"C Dhanush, DP Kumar, A Kanavalli","Data Engineering and Intelligent Computing: Proceedings of ICICC 2020, 249-257, 2021",2021,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14458943752815276302,https://serpapi.com/search.json?cites=14458943752815276302&engine=google_scholar&hl=en,14458943752815276302
"A comparative study of classifiers for music genre classification based on feature extractors. In 2016 IEEE Distributed Computing, VLSI, Electrical Circuits and Robotics (DISCOVER)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:3fE2CSJIrl8C,CF_Afu8AAAAJ:3fE2CSJIrl8C,"DP Kumar, BJ Sowmya, KG Srinivasa","VLSI, Electrical Circuits and Robotics (DISCOVER), 190-194, 2016",2016,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11674102445985248250,https://serpapi.com/search.json?cites=11674102445985248250&engine=google_scholar&hl=en,11674102445985248250
Efficient Image Denoising for Effective Digitization using Image Processing Techniques and Neural Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:9yKSN-GCB0IC,CF_Afu8AAAAJ:9yKSN-GCB0IC,"KG Srinivasa, BJ Sowmya, DP Kumar, C Shetty","International Journal of Applied Evolutionary Computation (IJAEC) 7 (4), 77-93, 2016",2016,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5643810882029151933,https://serpapi.com/search.json?cites=5643810882029151933&engine=google_scholar&hl=en,5643810882029151933
Building a hybridised meta-heuristic optimisation algorithm for efficient cluster analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:_FxGoFyzp5QC,CF_Afu8AAAAJ:_FxGoFyzp5QC,"DP Kumar, BJ Sowmya, A Kanavalli, V Cornelio, JP Dsouza, W Memon, ...","International Journal of Business Intelligence and Data Mining 22 (1-2), 170-222, 2023",2023,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8759203800201122510,https://serpapi.com/search.json?cites=8759203800201122510&engine=google_scholar&hl=en,8759203800201122510
Smart Healthcare: Using IoT and Machine Learning-Based Analytics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CF_Afu8AAAAJ&pagesize=100&citation_for_view=CF_Afu8AAAAJ:W7OEmFMy1HYC,CF_Afu8AAAAJ:W7OEmFMy1HYC,"P Sunagar, R Hanumantharaju, D Pradeep Kumar, BJ Sowmya, S Seema, ...","Artificial Intelligence for Information Management: A Healthcare Perspective …, 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6133401946535978754,https://serpapi.com/search.json?cites=6133401946535978754&engine=google_scholar&hl=en,6133401946535978754
