title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Developing an Offline and Real-Time Indian Sign Language Recognition System with Machine Learning and Deep Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:5nxA0vEk-isC,cQ5gKIMAAAAJ:5nxA0vEk-isC,SBJ Priya K,"SN COMPUTER SCIENCE 5, 17, 2024",2024,10.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8383617499282374857,https://serpapi.com/search.json?cites=8383617499282374857&engine=google_scholar&hl=en,8383617499282374857
A CONCISE CHRONOLOGICAL REASSESS OF DIFFERENT SWARM INTELLIGENCE METHODS WITH MULTI ROBOTICS APPROACH,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:YsMSGLbcyi4C,cQ5gKIMAAAAJ:YsMSGLbcyi4C,K priya,"ICTACT Journal on Soft Computing 9 (Issue: 2), 1873-1878, 2019",2019,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14670976979823873487,https://serpapi.com/search.json?cites=14670976979823873487&engine=google_scholar&hl=en,14670976979823873487
"Predictive Cloud-Based Application for the Early Detection and Risk Stratification of Oral Cancer using Keratin Pearls, Multiple Nucleoli and Vascular Invasion",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:MXK_kJrjxJIC,cQ5gKIMAAAAJ:MXK_kJrjxJIC,"A Benagi, D Narayan, P K, SK Shetty, D Augustine, S Sv","2024 28th International Computer Science and Engineering Conference (ICSEC), 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5653246582578807469,https://serpapi.com/search.json?cites=5653246582578807469&engine=google_scholar&hl=en,5653246582578807469
AN INNOVATIVE APPROACH FOR VIDEO STEGANOGRAPHY USING STATISTICAL FEATURES IN ROUNDLSB,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:9yKSN-GCB0IC,cQ5gKIMAAAAJ:9yKSN-GCB0IC,"A Danti, KP Manjula","International Journal of Engineering Applied Sciences and Technology 1 (8 …, 2016",2016,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5000866428322992017,https://serpapi.com/search.json?cites=5000866428322992017&engine=google_scholar&hl=en,5000866428322992017
Deep Learning Mastery through Network Ensemble Fusion for Indian Sign Language Recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:8k81kl-MbHgC,cQ5gKIMAAAAJ:8k81kl-MbHgC,P K,"Journal of Electrical Systems 20, 7152-7161, 2024",2024,,,,
Hand Landmark Distance Based Sign Language Recognition using MediaPipe,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:0EnyYjriUFMC,cQ5gKIMAAAAJ:0EnyYjriUFMC,"K Priya, S B J","IEEE International Conference on Emerging Smart Computing and Informatics …, 2023",2023,,,,
Google’s Internet Balloons in Stratosphere for a ‘Network in the sky’,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:WF5omc3nYNoC,cQ5gKIMAAAAJ:WF5omc3nYNoC,K priya,"International Journal of Management, Technology and Engineering (IJMTE - UGC …, 2019",2019,,,,
Electoral Voting System Using Block Chain Technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:eQOLeE2rZwMC,cQ5gKIMAAAAJ:eQOLeE2rZwMC,k Priya,"International Journal of Management, Technology and Engineering (IJMTE - UGC …, 2019",2019,,,,
INFORMATION SECURITY AND PRIVACY IN CLOUD USING HYBRID CRYPTOGRAPHIC ALGORITHM,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:2osOgNQ5qMEC,cQ5gKIMAAAAJ:2osOgNQ5qMEC,K PRIYA,"International Journal of Engineering Applied Science and Technology (IJEAST …, 2018",2018,,,,
TEST AUTOMATION FRAMEWORK FOR CERP APPLICATION USING EXTENT REPORTS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cQ5gKIMAAAAJ&pagesize=100&citation_for_view=cQ5gKIMAAAAJ:u5HHmVD_uO8C,cQ5gKIMAAAAJ:u5HHmVD_uO8C,K PRIYA,"International Journal of Technical Innovation in Modern Engineering …, 2018",2018,,,,
