title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Quora question pairs using XG boost,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:d1gkVwhDpl0C,vTUAWAsAAAAJ:d1gkVwhDpl0C,"A Chunamari, M Yashas, A Basu, DK Anirudh, CS Soumya","Emerging Research in Computing, Information, Communication and Applications …, 2021",2021,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15101296809065097688,https://serpapi.com/search.json?cites=15101296809065097688&engine=google_scholar&hl=en,15101296809065097688
Analyzing the performance of novel activation functions on deep learning architectures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:u5HHmVD_uO8C,vTUAWAsAAAAJ:u5HHmVD_uO8C,"A Chaturvedi, N Apoorva, MS Awasthi, S Jyoti, DP Akarsha, S Brunda, ...","Emerging Research in Computing, Information, Communication and Applications …, 2022",2022,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13328074212099888863,https://serpapi.com/search.json?cites=13328074212099888863&engine=google_scholar&hl=en,13328074212099888863
Revolutionizing transportation infrastructure and communication technology through blockchain and 5G simulation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:Tyk-4Ss8FVUC,vTUAWAsAAAAJ:Tyk-4Ss8FVUC,"DA Naik, CS Soumya, J Mahadesh, JA Braganza, P Singh, R Nanda","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=210679417816988123,https://serpapi.com/search.json?cites=210679417816988123&engine=google_scholar&hl=en,210679417816988123
"Unveiling Media Bias: Investigating Influences, Politics, and Solutions through Advanced Classification Techniques",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:W7OEmFMy1HYC,vTUAWAsAAAAJ:W7OEmFMy1HYC,"AK Kudva, DN Disha, CS Soumya","2024 Second International Conference on Advances in Information Technology …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6107708062867729421,https://serpapi.com/search.json?cites=6107708062867729421&engine=google_scholar&hl=en,6107708062867729421
HiGMA-DADCN: Hirudinaria granulosa multitropic algorithm optimised double attention enabled deep convolutional neural network for psoriasis classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:eQOLeE2rZwMC,vTUAWAsAAAAJ:eQOLeE2rZwMC,"S CS, J HS","Computer Methods in Biomechanics and Biomedical Engineering: Imaging …, 2025",2025,,,,
Enhancing Road Safety: A Deep Learning Approach to Accurate Traffic Sign Classification and its Implications for Autonomous Vehicles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:YsMSGLbcyi4C,vTUAWAsAAAAJ:YsMSGLbcyi4C,"DN Disha, S Rao, CS Soumya, A Ram, A Rao","2024 Second International Conference on Advances in Information Technology …, 2024",2024,,,,
Predictive Modelling of Bipolar Disorder Utilizing Advanced Machine Learning Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:Y0pCki6q_DkC,vTUAWAsAAAAJ:Y0pCki6q_DkC,"DN Disha, S Seema, CS Soumya","2023 2nd International Conference on Futuristic Technologies (INCOFT), 1-6, 2023",2023,,,,
Classification of Devanagari Characters Dataset Using Deep Learning Methods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:u-x6o8ySG0sC,vTUAWAsAAAAJ:u-x6o8ySG0sC,"S Brunda, CS Soumya, DP Akarsha, C Manjunatha, CV Nikshep, ...","Proceedings of 3rd International Conference on Recent Trends in Machine …, 2023",2023,,,,
Enhanced Supervision of Indoor Surveillance Video Using Deep Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:IjCSPb-OGe4C,vTUAWAsAAAAJ:IjCSPb-OGe4C,"CS Soumya, L Manjula, N Pallavi",,2023,,,,
Noise Removal in Hyperspectral Images using Spectral Spatial Adaptive Sparse Representation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=vTUAWAsAAAAJ&pagesize=100&citation_for_view=vTUAWAsAAAAJ:2osOgNQ5qMEC,vTUAWAsAAAAJ:2osOgNQ5qMEC,TG Soumya C S,"International Journal of Innovative Research in Science, Engineering and …, 2017",2017,,,,
