title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Kannada handwritten word conversion to electronic textual format using HMM model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:2osOgNQ5qMEC,iZpKmYEAAAAJ:2osOgNQ5qMEC,"A Sushma, GS Veena","2016 International conference on computation system and information …, 2016",2016,11.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3315843916687142418,https://serpapi.com/search.json?cites=3315843916687142418&engine=google_scholar&hl=en,3315843916687142418
Preventive effect of some indigenous drugs on experimental goitre in rats,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:-f6ydRqryjwC,iZpKmYEAAAAJ:-f6ydRqryjwC,"G Veena, C Prasad, KP Singh, KN Udupa","J. Res. Ind. Med 10, 12-18, 1975",1975,11.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10222401804064551220,https://serpapi.com/search.json?cites=10222401804064551220&engine=google_scholar&hl=en,10222401804064551220
Effective analysis and diagnosis of liver disorder,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:Wp0gIr-vW9MC,iZpKmYEAAAAJ:Wp0gIr-vW9MC,"GS Veena, D Sneha, D Basavaraju, T Tanvi","2018 International Conference on Communication and Signal Processing (ICCSP …, 2018",2018,10.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13018917462749278823,https://serpapi.com/search.json?cites=13018917462749278823&engine=google_scholar&hl=en,13018917462749278823
"Prediction of liver disease using Rprop, SAG and CNN",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:ZeXyd9-uunAC,iZpKmYEAAAAJ:ZeXyd9-uunAC,"DH Belavigi, GS Veena, D Harekal","Int. J. Innov. Technol. Expl. Eng. IJITEE 8, 3290-3295, 2019",2019,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14277611602464454468,https://serpapi.com/search.json?cites=14277611602464454468&engine=google_scholar&hl=en,14277611602464454468
Handwritten off-line Kannada character/word recognition using hidden Markov model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:9yKSN-GCB0IC,iZpKmYEAAAAJ:9yKSN-GCB0IC,"GS Veena, TNR Kumar, A Sushma","Proceedings of International Conference on Cognition and Recognition: ICCR …, 2017",2017,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12145010802985518834,https://serpapi.com/search.json?cites=12145010802985518834&engine=google_scholar&hl=en,12145010802985518834
Biometric Based Attendance Management System using Cloud,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:hC7cP41nSMkC,iZpKmYEAAAAJ:hC7cP41nSMkC,"M Narendra, GS Veena, D Harekal, JS Kallimani","International Journal of Advanced Science and Technology 29 (3s), 130-138, 2020",2020,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10520617677471856208,https://serpapi.com/search.json?cites=10520617677471856208&engine=google_scholar&hl=en,10520617677471856208
License Plate Recognition System using YOLO and Mask R-CNN.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:L8Ckcad2t8MC,iZpKmYEAAAAJ:L8Ckcad2t8MC,"V GS, D Harekal","Turkish Online Journal of Qualitative Inquiry 12 (9), 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13900793587461929368,https://serpapi.com/search.json?cites=13900793587461929368&engine=google_scholar&hl=en,13900793587461929368
Reaug an implemented augmented reality enabled scanner for restaurants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:dhFuZR0502QC,iZpKmYEAAAAJ:dhFuZR0502QC,"D Harekal, GS Veena, A Goyal, R Sinha","International Journal of Innovative Technology and Exploring Engineering 8 …, 2019",2019,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12395224546161018796,https://serpapi.com/search.json?cites=12395224546161018796&engine=google_scholar&hl=en,12395224546161018796
"International Proceedings on Advances in Soft Computing, Intelligent Systems and Applications: ASISA 2016",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:4TOpqqG69KYC,iZpKmYEAAAAJ:4TOpqqG69KYC,"MS Reddy, K Viswanath, SP KM","Springer Singapore, 2018",2018,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11984553632007088410,https://serpapi.com/search.json?cites=11984553632007088410&engine=google_scholar&hl=en,11984553632007088410
Veena,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iZpKmYEAAAAJ&pagesize=100&citation_for_view=iZpKmYEAAAAJ:7PzlFSSx8tAC,iZpKmYEAAAAJ:7PzlFSSx8tAC,A Sushma,"GS,“Kannada Handwritten Word Conversion to Electronic Textual Format Using …, 2016",2016,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13687177159220605708,https://serpapi.com/search.json?cites=13687177159220605708&engine=google_scholar&hl=en,13687177159220605708
