title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Photoperiod influences endogenous indoleamines in cultured green alga Dunaliella bardawil.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:qjMakFHDy7sC,i6I2-GQAAAAJ:qjMakFHDy7sC,"DRB Ramakrishna, A Dayananda, C Giridhar, P Rajasekaran, T Ravishankar, G A","Indian Journal of Experimental Biology 49, 234-240, 2011",2011,44.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7193276242577069396,https://serpapi.com/search.json?cites=7193276242577069396&engine=google_scholar&hl=en,7193276242577069396
Experimental evaluation of a shape memory alloy wire actuator with a modulated adaptive controller for position control,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:UeHWp8X0CEIC,i6I2-GQAAAAJ:UeHWp8X0CEIC,DGNDDRB Dayananda,"Smart Materials and Structures 21 (1), 2011",2011,29.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11510604531988212975,https://serpapi.com/search.json?cites=11510604531988212975&engine=google_scholar&hl=en,11510604531988212975
Optimization of hadoop mapreduce model in cloud computing environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:Se3iqnhoufwC,i6I2-GQAAAAJ:Se3iqnhoufwC,"V Sontakke, RB Dayanand","2019 International Conference on Smart Systems and Inventive Technology …, 2019",2019,15.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13581523155359458514,https://serpapi.com/search.json?cites=13581523155359458514&engine=google_scholar&hl=en,13581523155359458514
Improvised_XgBoost Machine learning Algorithm for Customer Churn Prediction.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:WF5omc3nYNoC,i6I2-GQAAAAJ:WF5omc3nYNoC,D RB,"EAI Endorsed Transactions on the Energy Web 7 (30), 2020",2020,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9360894162182345213,https://serpapi.com/search.json?cites=9360894162182345213&engine=google_scholar&hl=en,9360894162182345213
A review on security and privacy preserving mechanisms of electronic health records in cloud,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:YsMSGLbcyi4C,i6I2-GQAAAAJ:YsMSGLbcyi4C,"U Hombal, RB Dayananda","2021 Asian Conference on Innovation in Technology (ASIANCON), 1-4, 2021",2021,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7713957076566794022,https://serpapi.com/search.json?cites=7713957076566794022&engine=google_scholar&hl=en,7713957076566794022
Customer churn prediction in telecommunication industry through machine learning based Fine-tuned XGBoost algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:_FxGoFyzp5QC,i6I2-GQAAAAJ:_FxGoFyzp5QC,D RB,,2021,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8812393424445208967,https://serpapi.com/search.json?cites=8812393424445208967&engine=google_scholar&hl=en,8812393424445208967
Computer aided corn leaf disease identification system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:eQOLeE2rZwMC,i6I2-GQAAAAJ:eQOLeE2rZwMC,"DA Noola, RB Dayanand","2021 2nd International Conference on Smart Electronics and Communication …, 2021",2021,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5364097797504118709,https://serpapi.com/search.json?cites=5364097797504118709&engine=google_scholar&hl=en,5364097797504118709
Customer churn prediction and upselling using MRF (modified random forest) technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:UebtZRa9Y70C,i6I2-GQAAAAJ:UebtZRa9Y70C,"P Swetha, RB Dayananda","International Journal of Innovative Technology and Exploring Engineering …, 2020",2020,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16073477958033969901,https://serpapi.com/search.json?cites=16073477958033969901&engine=google_scholar&hl=en,16073477958033969901
An effective security protocol for GDS (group Data sharing) in Healthcare Cloud Environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:W7OEmFMy1HYC,i6I2-GQAAAAJ:W7OEmFMy1HYC,"U Hombal, RB Dayananda","2019 international conference on communication and electronics systems …, 2019",2019,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12083502216716968676,https://serpapi.com/search.json?cites=12083502216716968676&engine=google_scholar&hl=en,12083502216716968676
Time-Based Proxy Re-encryption Scheme for Secure Data Sharing in a Cloud Environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i6I2-GQAAAAJ&pagesize=100&citation_for_view=i6I2-GQAAAAJ:u-x6o8ySG0sC,i6I2-GQAAAAJ:u-x6o8ySG0sC,"R Dayandanda, GM Someswar","International Journal of Emerging trends in Science and Technology 2, 2015",2015,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12388429374650724968,https://serpapi.com/search.json?cites=12388429374650724968&engine=google_scholar&hl=en,12388429374650724968
