title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Handwritten text recognition using deep learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:W7OEmFMy1HYC,uEh6zRUAAAAJ:W7OEmFMy1HYC,"A Nikitha, J Geetha, DS JayaLakshmi","2020 International Conference on Recent Trends on Electronics, Information …, 2020",2020,39.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11161855817657914099,https://serpapi.com/search.json?cites=11161855817657914099&engine=google_scholar&hl=en,11161855817657914099
Data-local reduce task scheduling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:d1gkVwhDpl0C,uEh6zRUAAAAJ:d1gkVwhDpl0C,"J Geetha, N UdayBhaskar, P ChennaReddy","Procedia Computer Science 85, 598-605, 2016",2016,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=735851801886351700,https://serpapi.com/search.json?cites=735851801886351700&engine=google_scholar&hl=en,735851801886351700
Hadoop scheduler with deadline constraint,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:2osOgNQ5qMEC,uEh6zRUAAAAJ:2osOgNQ5qMEC,"J Geetha, N UdayBhaskar, P ChennaReddy, N Sniha","International Journal on Cloud Computing: Services and Architecture (IJCCSA …, 2014",2014,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10156540751744026256,https://serpapi.com/search.json?cites=10156540751744026256&engine=google_scholar&hl=en,10156540751744026256
Enhancing graph database interaction through generative AI-driven natural language interface for financial fraud detection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:qxL8FJ1GzNcC,uEh6zRUAAAAJ:qxL8FJ1GzNcC,"T Simran, J Geetha","2024 15th International Conference on Computing Communication and Networking …, 2024",2024,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=150069119695113945,https://serpapi.com/search.json?cites=150069119695113945&engine=google_scholar&hl=en,150069119695113945
Implementation and performance comparison of partitioning techniques in apache spark,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:YsMSGLbcyi4C,uEh6zRUAAAAJ:YsMSGLbcyi4C,"J Geetha, NG Harshit","2019 10th International Conference on Computing, Communication and …, 2019",2019,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15320554277208345232,https://serpapi.com/search.json?cites=15320554277208345232&engine=google_scholar&hl=en,15320554277208345232
Lightweight cloud-based solution for digital education and assessment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:8k81kl-MbHgC,uEh6zRUAAAAJ:8k81kl-MbHgC,"J Geetha, DS Jayalakshmi, E Naresh, N Sreenivasa","Science & Technology Libraries 43 (3), 274-286, 2024",2024,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4249742300268708633,https://serpapi.com/search.json?cites=4249742300268708633&engine=google_scholar&hl=en,4249742300268708633
Consistent hashing and real-time task scheduling in fog computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:MXK_kJrjxJIC,uEh6zRUAAAAJ:MXK_kJrjxJIC,"JJ Geetha, JL DS, KN LN","Deep Learning Applications for Cyber-Physical Systems, 245-261, 2022",2022,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7606906943938451172,https://serpapi.com/search.json?cites=7606906943938451172&engine=google_scholar&hl=en,7606906943938451172
Intelligent daily scheduler,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:IjCSPb-OGe4C,uEh6zRUAAAAJ:IjCSPb-OGe4C,"J Geetha, BS Akanksh, AS Koushik","2018 International Conference on Advances in Computing, Communications and …, 2018",2018,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=454612856728863746,https://serpapi.com/search.json?cites=454612856728863746&engine=google_scholar&hl=en,454612856728863746
An analytical approach for optimizing the performance of hadoop map reduce over roce,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:9yKSN-GCB0IC,uEh6zRUAAAAJ:9yKSN-GCB0IC,J Geetha,"International Journal of Information Communication Technologies and Human …, 2018",2018,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3051666285968386641,https://serpapi.com/search.json?cites=3051666285968386641&engine=google_scholar&hl=en,3051666285968386641
Implementing elliptic curve cryptography with ACO based algorithm in clustered WSN for border surveillance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uEh6zRUAAAAJ&pagesize=100&citation_for_view=uEh6zRUAAAAJ:ufrVoPGSRksC,uEh6zRUAAAAJ:ufrVoPGSRksC,"S Malathy, J Geetha, A Suresh, S Priya","2018 Fourth International Conference on Advances in Electrical, Electronics …, 2018",2018,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6482699397923596449,https://serpapi.com/search.json?cites=6482699397923596449&engine=google_scholar&hl=en,6482699397923596449
