title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
A comparative study on WiFi and WiMAX networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:d1gkVwhDpl0C,FZ0848wAAAAJ:d1gkVwhDpl0C,"J Sangeetha, S Kumar","2010 IEEE International Conference on Computational Intelligence and …, 2010",2010,10.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3958918000669479293,https://serpapi.com/search.json?cites=3958918000669479293&engine=google_scholar&hl=en,3958918000669479293
Smart irrigation and precision farming of paddy field using unmanned ground vehicle and internet of things system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:5nxA0vEk-isC,FZ0848wAAAAJ:5nxA0vEk-isC,"A Srinivas, J Sangeetha","International Journal of Advanced Computer Science and Applications 12 (12), 2021",2021,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9541984724915827282,https://serpapi.com/search.json?cites=9541984724915827282&engine=google_scholar&hl=en,9541984724915827282
IoT-based Autonomous Search and Rescue Drone for Precision Firefighting and Disaster Management,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:UebtZRa9Y70C,FZ0848wAAAAJ:UebtZRa9Y70C,"VRMR Shubeeksh Kumaran, V Aditya Raj, Dr. Sangeetha J","International Journal of Advanced Computer Science and Applications, 14 (11 …, 2023",2023,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5235180598846481503,https://serpapi.com/search.json?cites=5235180598846481503&engine=google_scholar&hl=en,5235180598846481503
An analysis and comparison of different routing algorithms in WiMAX networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:IjCSPb-OGe4C,FZ0848wAAAAJ:IjCSPb-OGe4C,"J Sangeetha, PG Balipadi, KH Ismail, KNB Murthy, RP Rustagi","2015 IEEE International Advance Computing Conference (IACC), 734-737, 2015",2015,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16293036154039436523,https://serpapi.com/search.json?cites=16293036154039436523&engine=google_scholar&hl=en,16293036154039436523
A review on deep learning approaches for motor imagery EEG signal classification for brain–computer interface systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:YOwf2qJgpHMC,FZ0848wAAAAJ:YOwf2qJgpHMC,"A Nandhini, J Sangeetha","Computational Vision and Bio-Inspired Computing: Proceedings of ICCVBIC 2022 …, 2023",2023,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12472437475223157183,https://serpapi.com/search.json?cites=12472437475223157183&engine=google_scholar&hl=en,12472437475223157183
A new approach for analyzing the performance of the WiMAX networks based on QoS traffic prediction routing protocol using gene expression programming,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:zYLM7Y9cAGgC,FZ0848wAAAAJ:zYLM7Y9cAGgC,"J Sangeetha, K Nagaraj, KNB Murthy, RP Rustagi","International Journal of Applied Metaheuristic Computing (IJAMC) 7 (2), 16-38, 2016",2016,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18112612660300683065,https://serpapi.com/search.json?cites=18112612660300683065&engine=google_scholar&hl=en,18112612660300683065
Multistage End-to-End Driver Drowsiness Alerting System,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:0EnyYjriUFMC,FZ0848wAAAAJ:0EnyYjriUFMC,"P Sowmyashree, J Sangeetha","International Journal of Advanced Computer Science and Applications 14 (4), 2023",2023,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15118605160895601082,https://serpapi.com/search.json?cites=15118605160895601082&engine=google_scholar&hl=en,15118605160895601082
An Analysis of VoIP Application in Fixed and Mobile WiMAX Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:W7OEmFMy1HYC,FZ0848wAAAAJ:W7OEmFMy1HYC,"J Balipadia, P. G., & Sangeetha","Wireless and Microwave Technologies 5, 22-34, 2016",2016,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17041100117493631144,https://serpapi.com/search.json?cites=17041100117493631144&engine=google_scholar&hl=en,17041100117493631144
Analysis of age groups and motion speed using smart phone accelerometers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:2osOgNQ5qMEC,FZ0848wAAAAJ:2osOgNQ5qMEC,"SC Shekeran, J Sangeetha","2015 International Conference on Condition Assessment Techniques in …, 2015",2015,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6191998656188680840,https://serpapi.com/search.json?cites=6191998656188680840&engine=google_scholar&hl=en,6191998656188680840
Drowsiness detection for automotive drivers in real-time,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ0848wAAAAJ&pagesize=100&citation_for_view=FZ0848wAAAAJ:KlAtU1dfN6UC,FZ0848wAAAAJ:KlAtU1dfN6UC,"R Chandana, J Sangeetha","Proceedings of Fourth International Conference on Computer and Communication …, 2023",2023,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11071397959411713251,https://serpapi.com/search.json?cites=11071397959411713251&engine=google_scholar&hl=en,11071397959411713251
