title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Modeling of chaotic political optimizer for crop yield prediction,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:hFOr9nPyWt4C,uOwul8kAAAAJ:hFOr9nPyWt4C,"G Sunitha, MN Pushpalatha, A Parkavi, P Boyapati, R Walia, R Kohar, ...","Intell. Autom. Soft Comput 34 (1), 423-437, 2022",2022,21.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5502645640302219036,https://serpapi.com/search.json?cites=5502645640302219036&engine=google_scholar&hl=en,5502645640302219036
Quality grading of the fruits and vegetables using image processing techniques and machine learning: a review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:dhFuZR0502QC,uOwul8kAAAAJ:dhFuZR0502QC,"MK Prem Kumar, A Parkavi","Advances in Communication Systems and Networks: Select Proceedings of ComNet …, 2020",2020,19.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10401941094605130232,https://serpapi.com/search.json?cites=10401941094605130232&engine=google_scholar&hl=en,10401941094605130232
"Increasing efficient usage of real-time public transportation using IOT, cloud and customized mobile app",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:ufrVoPGSRksC,uOwul8kAAAAJ:ufrVoPGSRksC,"BK Harini, A Parkavi, M Supriya, BC Kruthika, KM Navya","SN Computer Science 1 (3), 159, 2020",2020,18.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12204264822842665156,https://serpapi.com/search.json?cites=12204264822842665156&engine=google_scholar&hl=en,12204264822842665156
A study of opinion mining and data mining techniques to analyse the cryptocurrency market,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:YsMSGLbcyi4C,uOwul8kAAAAJ:YsMSGLbcyi4C,"AP Patil, TS Akarsh, A Parkavi","2018 3rd international conference on computational systems and information …, 2018",2018,13.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10082326575550581526,https://serpapi.com/search.json?cites=10082326575550581526&engine=google_scholar&hl=en,10082326575550581526
Software fault prediction using machine learning algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:mB3voiENLucC,uOwul8kAAAAJ:mB3voiENLucC,"MS Pavana, MN Pushpalatha, A Parkavi","International Conference on Advances in Electrical and Computer Technologies …, 2021",2021,12.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3902530668252250850,https://serpapi.com/search.json?cites=3902530668252250850&engine=google_scholar&hl=en,3902530668252250850
Estimation of arecanut yield in various climatic zones of karnataka using data mining technique: A survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:W7OEmFMy1HYC,uOwul8kAAAAJ:W7OEmFMy1HYC,"M Manjunatha, A Parkavi","2018 International Conference on Current Trends towards Converging …, 2018",2018,12.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7746238273540305671,https://serpapi.com/search.json?cites=7746238273540305671&engine=google_scholar&hl=en,7746238273540305671
Streamlining task planning systems for improved enactment in contemporary computing surroundings,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:M3NEmzRMIkIC,uOwul8kAAAAJ:M3NEmzRMIkIC,"S Menon, SR Addula, A Parkavi, C Subbalakshmi, VB Dhandayuthapani, ...","SN Computer Science 5 (8), 993, 2024",2024,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18163150185494087547,https://serpapi.com/search.json?cites=18163150185494087547&engine=google_scholar&hl=en,18163150185494087547
Digital transformation in healthcare using eagle perching optimizer with deep learning model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:e5wmG9Sq2KIC,uOwul8kAAAAJ:e5wmG9Sq2KIC,"R Thilagavathy, J Jagadeesan, A Parkavi, M Radhika, S Hemalatha, ...","Expert Systems 42 (1), e13390, 2025",2025,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14645050317080527695,https://serpapi.com/search.json?cites=14645050317080527695&engine=google_scholar&hl=en,14645050317080527695
A smart citizen information system using hadoop: A case study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:u5HHmVD_uO8C,uOwul8kAAAAJ:u5HHmVD_uO8C,"A Parkavi, N Vetrivelan","2013 IEEE International Conference on Computational Intelligence and …, 2013",2013,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18273376682521392999,https://serpapi.com/search.json?cites=18273376682521392999&engine=google_scholar&hl=en,18273376682521392999
Drone-based intelligent system for social distancing compliance using YOLOv5 and YOLOv6 with euclidean distance metric,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=uOwul8kAAAAJ&pagesize=100&citation_for_view=uOwul8kAAAAJ:maZDTaKrznsC,uOwul8kAAAAJ:maZDTaKrznsC,"A Parkavi, SA Alex, MN Pushpalatha, PK Shukla, A Pandey, S Sharma","SN Computer Science 5 (8), 972, 2024",2024,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1237557887769446700,https://serpapi.com/search.json?cites=1237557887769446700&engine=google_scholar&hl=en,1237557887769446700
