title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
A literature review on bidirectional encoder representations from transformers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:u_35RYKgDlwC,S0rWhnMAAAAJ:u_35RYKgDlwC,"S Shreyashree, P Sunagar, S Rajarajeswari, A Kanavalli","Inventive Computation and Information Technologies: Proceedings of ICICIT …, 2022",2022,38,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17939999792256648545,https://serpapi.com/search.json?cites=17939999792256648545&engine=google_scholar&hl=en,17939999792256648545
Movie recommendation system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:mB3voiENLucC,S0rWhnMAAAAJ:mB3voiENLucC,"S Rajarajeswari, S Naik, S Srikant, MK Sai Prakash, P Uday","Emerging Research in Computing, Information, Communication and Applications …, 2019",2019,30,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4754082234198261216,https://serpapi.com/search.json?cites=4754082234198261216&engine=google_scholar&hl=en,4754082234198261216
News topic classification using machine learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:8d8msizDQcsC,S0rWhnMAAAAJ:8d8msizDQcsC,"P Sunagar, A Kanavalli, SS Nayak, SR Mahan, S Prasad, S Prasad","International Conference on Communication, Computing and Electronics Systems …, 2021",2021,29,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11358543121302764961,https://serpapi.com/search.json?cites=11358543121302764961&engine=google_scholar&hl=en,11358543121302764961
Automatic text summarizer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:Ade32sEp0pkC,S0rWhnMAAAAJ:Ade32sEp0pkC,"AP Patil, S Dalmia, SAA Ansari, T Aul, V Bhatnagar","2014 international conference on advances in computing, communications and …, 2014",2014,29,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13083829183958968161,https://serpapi.com/search.json?cites=13083829183958968161&engine=google_scholar&hl=en,13083829183958968161
"An intelligent system to detect, avoid and maintain potholes: A graph theoretic approach",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:d1gkVwhDpl0C,S0rWhnMAAAAJ:d1gkVwhDpl0C,"S Venkatesh, E Abhiram, S Rajarajeswari, KMS Kumar, S Balakuntala, ...","2014 seventh international conference on mobile computing and ubiquitous …, 2014",2014,28,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15106968915169884631,https://serpapi.com/search.json?cites=15106968915169884631&engine=google_scholar&hl=en,15106968915169884631
Design and implementation of a consensus algorithm to build zero trust model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:anf4URPfarAC,S0rWhnMAAAAJ:anf4URPfarAC,"AP Patil, G Karkal, J Wadhwa, M Sawood, KD Reddy","2020 IEEE 17th India council international conference (INDICON), 1-5, 2020",2020,27,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11550453779910356466,https://serpapi.com/search.json?cites=11550453779910356466&engine=google_scholar&hl=en,11550453779910356466
"Effect of trap colour, height and placement around trees in capture of mango fruit flies.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:Dem6FJhTUoYC,S0rWhnMAAAAJ:Dem6FJhTUoYC,"G Sarada, TU Maheswari, K Purushotham",,2001,27,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18325777882168519808,https://serpapi.com/search.json?cites=18325777882168519808&engine=google_scholar&hl=en,18325777882168519808
Prediction of lung cancer using meta-heuristic based optimization technique: Crow search technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:URolC5Kub84C,S0rWhnMAAAAJ:URolC5Kub84C,"S Alagarsamy, RR Subramanian, T Shree, M Balasubramanian, ...","2021 International Conference on Computing, Communication, and Intelligent …, 2021",2021,24,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18246589997517081848,https://serpapi.com/search.json?cites=18246589997517081848&engine=google_scholar&hl=en,18246589997517081848
Age associated decline in the conversion of leucine to β-Hydroxy-β-Methylbutyrate in rats,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:PELIpwtuRlgC,S0rWhnMAAAAJ:PELIpwtuRlgC,"S Shreeram, S Ramesh, JK Puthan, G Balakrishnan, R Subramanian, ...","Experimental gerontology 80, 6-11, 2016",2016,24,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4868735940614498405,https://serpapi.com/search.json?cites=4868735940614498405&engine=google_scholar&hl=en,4868735940614498405
Design and evaluation of a deep learning algorithm for emotion recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:uWiczbcajpAC,S0rWhnMAAAAJ:uWiczbcajpAC,"RR Subramanian, CS Niharika, DU Rani, P Pavani, KPL Syamala","2021 5th International Conference on Intelligent Computing and Control …, 2021",2021,23,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18061827846678541256,https://serpapi.com/search.json?cites=18061827846678541256&engine=google_scholar&hl=en,18061827846678541256
