title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Enhancing Stability in Autonomous Control Systems Through Fuzzy Gain Scheduling (FGS) and Lyapunov Function Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:kRWSkSYxWN8C,qX-0prYAAAAJ:kRWSkSYxWN8C,"R Venkatesh, DD Rao, V Sangeetha, C Subbalakshmi, ...","International Journal of Applied and Computational Mathematics 10 (4), 130, 2024",2024,75.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13637671336817888495,https://serpapi.com/search.json?cites=13637671336817888495&engine=google_scholar&hl=en,13637671336817888495
Efficient Intrusion detection of malicious node using Bayesian Hybrid Detection in MANET,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:yD5IFk8b50cC,qX-0prYAAAAJ:yD5IFk8b50cC,"V Sangeetha, M Vaneeta, SS Kumar, PK Pareek, S Dixit","IOP Conference Series: Materials Science and Engineering 1022 (1), 012077, 2021",2021,17.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4212791248242724198,https://serpapi.com/search.json?cites=4212791248242724198&engine=google_scholar&hl=en,4212791248242724198
Applying machine learning enabled myriad fragment empirical modes in 5G communications to detect profile injection attacks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:K3LRdlH-MEoC,qX-0prYAAAAJ:K3LRdlH-MEoC,"MS Alzaidi, PK Shukla, V Sangeetha, KN Pandagre, VK Minchula, ...","Wireless Networks 30 (6), 5533-5546, 2024",2024,11.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14443676972273031186,https://serpapi.com/search.json?cites=14443676972273031186&engine=google_scholar&hl=en,14443676972273031186
A comparative study on brain intracerebral hemorrhage classification using head CT scan for stroke analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:B3FOqHPlNUQC,qX-0prYAAAAJ:B3FOqHPlNUQC,"R Anusha Bai, V Sangeetha","International Conference on Soft Computing for Security Applications, 633-649, 2023",2023,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12804928941366822354,https://serpapi.com/search.json?cites=12804928941366822354&engine=google_scholar&hl=en,12804928941366822354
Detection of malicious node in mobile ad-hoc network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:UebtZRa9Y70C,qX-0prYAAAAJ:UebtZRa9Y70C,"V Sangeetha, SS Kumar","2018 International Conference on Power, Signals, Control and Computation …, 2018",2018,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3538911849013823028,https://serpapi.com/search.json?cites=3538911849013823028&engine=google_scholar&hl=en,3538911849013823028
ZIDS: zonal-based intrusion detection system for studying the malicious node behaviour in MANET,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:3s1wT3WcHBgC,qX-0prYAAAAJ:3s1wT3WcHBgC,"V Sangeetha, SS Kumar","2015 International Conference on Emerging Research in Electronics, Computer …, 2015",2015,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16823677497468342875,https://serpapi.com/search.json?cites=16823677497468342875&engine=google_scholar&hl=en,16823677497468342875
Trends and Prospectus of Blockchain Technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:1qzjygNMrQYC,qX-0prYAAAAJ:1qzjygNMrQYC,"M Vaneeta, V Sangeetha, A Mamatha, A Kanavalli","Blockchain for IoT Systems: Concept, Framework and Applications, 78, 2024",2024,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15217163248649941389,https://serpapi.com/search.json?cites=15217163248649941389&engine=google_scholar&hl=en,15217163248649941389
Contemporary Research Trends in Plant Leaf Disease Detection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:Tiz5es2fbqcC,qX-0prYAAAAJ:Tiz5es2fbqcC,"K Beena, V Sangeetha, SR Deepa, M Vaneeta","2022 4th International Conference on Circuits, Control, Communication and …, 2022",2022,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6049380773809780154,https://serpapi.com/search.json?cites=6049380773809780154&engine=google_scholar&hl=en,6049380773809780154
Generative adversarial networks based method for generating photo-realistic super resolution images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:_xSYboBqXhAC,qX-0prYAAAAJ:_xSYboBqXhAC,"DA Naik, V Sangeetha, G Sandhya","2021 Emerging Trends in Industry 4.0 (ETI 4.0), 1-6, 2021",2021,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=502401120120027612,https://serpapi.com/search.json?cites=502401120120027612&engine=google_scholar&hl=en,502401120120027612
An Exploratory Study on Self-Sovereign Identity Powered by the Blockchain Technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:P5F9QuxV20EC,qX-0prYAAAAJ:P5F9QuxV20EC,"MG Shashank, V Sangeetha, H Shilpa","EasyChair, 2021",2021,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16120128004323046489,https://serpapi.com/search.json?cites=16120128004323046489&engine=google_scholar&hl=en,16120128004323046489
Breast cancer prediction using genetic algorithm and sand cat swarm optimization algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:AXPGKjj_ei8C,qX-0prYAAAAJ:AXPGKjj_ei8C,"MA Sangeetha V, Vaneeta M","Indonesian Journal of Electrical Engineering and Computer Science 37 (2 …, 2025",2025,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3242531582502984552,https://serpapi.com/search.json?cites=3242531582502984552&engine=google_scholar&hl=en,3242531582502984552
Object Detection for Visually Impaired Using MobileNetV2 and YOLOv3 Models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:XiVPGOgt02cC,qX-0prYAAAAJ:XiVPGOgt02cC,"KS Rokhade, V Sangeetha, A Mamatha","2024 Second International Conference on Networks, Multimedia and Information …, 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7602683664305178457,https://serpapi.com/search.json?cites=7602683664305178457&engine=google_scholar&hl=en,7602683664305178457
Hybrid Deep Learning-Based Air Pollution Prediction and Index Classification Using an Optimization Algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:J-pR_7NvFogC,qX-0prYAAAAJ:J-pR_7NvFogC,"S Kutala, H Awari, S V, A Anthonisamy, NJ Bathula, S Inthiyaz","AIMS Environmental Science 11 (4), 551-575, 2024",2024,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3583542324493465675,https://serpapi.com/search.json?cites=3583542324493465675&engine=google_scholar&hl=en,3583542324493465675
Data-driven mathematical modeling for AI-based security applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:XiSMed-E-HIC,qX-0prYAAAAJ:XiSMed-E-HIC,"SA Alex, A Parkavi, V Sangeetha","Handbook of Research on Data-Driven Mathematical Modeling in Smart Cities …, 2023",2023,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16900771944282641994,https://serpapi.com/search.json?cites=16900771944282641994&engine=google_scholar&hl=en,16900771944282641994
Anomaly Detection in Rotary Equipment using hybrid model with HGSO Optimization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:5ugPr518TE4C,qX-0prYAAAAJ:5ugPr518TE4C,"V Sangeetha, K Theertha, C Vishnupriya, SD Varsha, R Tanupriya, ...","2024 IEEE International Conference on Electronics, Computing and …, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2720260114972498910,https://serpapi.com/search.json?cites=2720260114972498910&engine=google_scholar&hl=en,2720260114972498910
Managing and Controlling the COVID-19 Pandemic: The Role of Humanoid Robots,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:mvPsJ3kp5DgC,qX-0prYAAAAJ:mvPsJ3kp5DgC,"A Mamatha, V Sangeetha, A Parkavi, PK Sreelatha","Modelling of Virtual Worlds Using the Internet of Things, 198-216, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=421291429426501577,https://serpapi.com/search.json?cites=421291429426501577&engine=google_scholar&hl=en,421291429426501577
Artificial intelligence in medical and healthcare service: Applications and challenges,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:8AbLer7MMksC,qX-0prYAAAAJ:8AbLer7MMksC,"V Sangeetha, A Mamatha, M Vaneeta, K Beena","Modern Healthcare Marketing in the Digital Era, 116-130, 2024",2024,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12128537126931058833,https://serpapi.com/search.json?cites=12128537126931058833&engine=google_scholar&hl=en,12128537126931058833
Tamper proof air quality management system using blockchain,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:LPZeul_q3PIC,qX-0prYAAAAJ:LPZeul_q3PIC,"M Vaneeta, SR Deepa, V Sangeetha, K Naganna, KS Vasisht, J Ashwini, ...","International Journal of Advanced Computer Science and Applications 14 (2), 2023",2023,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4200731622840031462,https://serpapi.com/search.json?cites=4200731622840031462&engine=google_scholar&hl=en,4200731622840031462
Survey on security risks in 5G private industrial networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:WbkHhVStYXYC,qX-0prYAAAAJ:WbkHhVStYXYC,"GV Pavan, V Sangeetha","2022 4th International Conference on Circuits, Control, Communication and …, 2022",2022,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2400901641373096728,https://serpapi.com/search.json?cites=2400901641373096728&engine=google_scholar&hl=en,2400901641373096728
Feedback collection and sentiment analysis on the product reviews,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:1sJd4Hv_s6UC,qX-0prYAAAAJ:1sJd4Hv_s6UC,"P Sunagar, DA Naik, V Sangeetha, A Kanavalli, S Seema","2021 IEEE international conference on mobile networks and wireless …, 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1820749801930641760,https://serpapi.com/search.json?cites=1820749801930641760&engine=google_scholar&hl=en,1820749801930641760
"Arecanut Disease Prediction Using MobileNet V2, ResNet and VGG-16 Framework",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:WA5NYHcadZ8C,qX-0prYAAAAJ:WA5NYHcadZ8C,"K Beena, V Sangeetha, GD Nidhi, S Varshini, KN Yogesh","2024 4th International Conference on Ubiquitous Computing and Intelligent …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6977732687495620203,https://serpapi.com/search.json?cites=6977732687495620203&engine=google_scholar&hl=en,6977732687495620203
Integrating deep learning with ensemble approach for anomaly detection in network traffic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:Mojj43d5GZwC,qX-0prYAAAAJ:Mojj43d5GZwC,"V Sangeetha, RCA Naidu, A Bhat, P Kulkarni","2024 4th International Conference on Mobile Networks and Wireless …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2467332722027920334,https://serpapi.com/search.json?cites=2467332722027920334&engine=google_scholar&hl=en,2467332722027920334
Multiclass Bird Species Identification using Deep Learning Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:bnK-pcrLprsC,qX-0prYAAAAJ:bnK-pcrLprsC,"PD SS, ML Jayanth, V Sangeetha","2024 IEEE International Conference on Electronics, Computing and …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9479545185982360603,https://serpapi.com/search.json?cites=9479545185982360603&engine=google_scholar&hl=en,9479545185982360603
Enhance fault identification in rotary equipment using Machine Learning algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qX-0prYAAAAJ&pagesize=100&citation_for_view=qX-0prYAAAAJ:V3AGJWp-ZtQC,qX-0prYAAAAJ:V3AGJWp-ZtQC,"V Sangeetha, SS Chaudhari, R Tanupriya, K Theertha, SD Varsha, ...","2024 5th International Conference on Innovative Trends in Information …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5314755476722662969,https://serpapi.com/search.json?cites=5314755476722662969&engine=google_scholar&hl=en,5314755476722662969
