title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Survey of bandwidth estimation techniques in communication networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:2osOgNQ5qMEC,daxojLsAAAAJ:2osOgNQ5qMEC,"SS Chaudhari, RC Biradar","wireless personal communications 83 (2), 1425-1476, 2015",2015,90.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6984315069878216499,https://serpapi.com/search.json?cites=6984315069878216499&engine=google_scholar&hl=en,6984315069878216499
An efficient approach for enhancing security in Internet of Things using the optimum authentication key,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:UebtZRa9Y70C,daxojLsAAAAJ:UebtZRa9Y70C,"G Kalyani, S Chaudhari","International Journal of Computers and Applications 42 (3), 306-314, 2020",2020,72.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16351103305095029288,https://serpapi.com/search.json?cites=16351103305095029288&engine=google_scholar&hl=en,16351103305095029288
Ingredient/recipe algorithm using web mining and web scraping for smart chef,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:M3ejUd6NZC8C,daxojLsAAAAJ:M3ejUd6NZC8C,"S Chaudhari, R Aparna, VG Tekkur, GL Pavan, SR Karki","2020 IEEE International Conference on Electronics, Computing and …, 2020",2020,38.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7464622384358955472,https://serpapi.com/search.json?cites=7464622384358955472&engine=google_scholar&hl=en,7464622384358955472
"Performance analysis of CNN, Alexnet and vggnet models for drought prediction using satellite images",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:qUcmZB5y_30C,daxojLsAAAAJ:qUcmZB5y_30C,"S Chaudhari, V Sardar, DS Rahul, M Chandan, MS Shivakale, KR Harini","2021 Asian Conference on Innovation in Technology (ASIANCON), 1-6, 2021",2021,32.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3623255349903214335,https://serpapi.com/search.json?cites=3623255349903214335&engine=google_scholar&hl=en,3623255349903214335
Traffic and mobility aware resource prediction using cognitive agent in mobile ad hoc networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:zYLM7Y9cAGgC,daxojLsAAAAJ:zYLM7Y9cAGgC,"SS Chaudhari, RC Biradar","Journal of Network and Computer Applications 72, 87-103, 2016",2016,29.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12318246156041193734,https://serpapi.com/search.json?cites=12318246156041193734&engine=google_scholar&hl=en,12318246156041193734
Convolution neural network-based agriculture drought prediction using satellite images,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:4JMBOYKVnBMC,daxojLsAAAAJ:4JMBOYKVnBMC,"VS Sardar, KM Yindumathi, SS Chaudhari, P Ghosh","2021 IEEE Mysore sub section international conference (MysuruCon), 601-607, 2021",2021,26.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16210056677234142736,https://serpapi.com/search.json?cites=16210056677234142736&engine=google_scholar&hl=en,16210056677234142736
Cluster-based data aggregation for pest identification in coffee plantations using wireless sensor networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:u-x6o8ySG0sC,daxojLsAAAAJ:u-x6o8ySG0sC,"RZ Ahmed, RC Biradar, SS Chaudhari","Computers & Electrical Engineering 56, 591-607, 2016",2016,24.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3457342881306090847,https://serpapi.com/search.json?cites=3457342881306090847&engine=google_scholar&hl=en,3457342881306090847
Analysis of image classification for text extraction from bills and invoices,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:4DMP91E08xMC,daxojLsAAAAJ:4DMP91E08xMC,"KM Yindumathi, SS Chaudhari, R Aparna","2020 11th International Conference on Computing, Communication and …, 2020",2020,23.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12462504281403999755,https://serpapi.com/search.json?cites=12462504281403999755&engine=google_scholar&hl=en,12462504281403999755
Data privacy preservation in MAC aware Internet of things with optimized key generation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:5nxA0vEk-isC,daxojLsAAAAJ:5nxA0vEk-isC,"G Kalyani, S Chaudhari","Journal of King Saud University-Computer and Information Sciences 34 (5 …, 2022",2022,20.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2994068016852335233,https://serpapi.com/search.json?cites=2994068016852335233&engine=google_scholar&hl=en,2994068016852335233
Performance analysis of blockchain-based medical records management system,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:qxL8FJ1GzNcC,daxojLsAAAAJ:qxL8FJ1GzNcC,"AS Koushik, B Jain, N Menon, D Lohia, S Chaudhari, VK BP","2019 4th International Conference on Recent Trends on Electronics …, 2019",2019,19.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2467702393024067208,https://serpapi.com/search.json?cites=2467702393024067208&engine=google_scholar&hl=en,2467702393024067208
Collision probability based available bandwidth estimation in mobile ad hoc networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=daxojLsAAAAJ&pagesize=100&citation_for_view=daxojLsAAAAJ:UeHWp8X0CEIC,daxojLsAAAAJ:UeHWp8X0CEIC,"SS Chaudhari, RC Biradar","The Fifth International Conference on the Applications of Digital …, 2014",2014,19.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8893583096636510213,https://serpapi.com/search.json?cites=8893583096636510213&engine=google_scholar&hl=en,8893583096636510213
