title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
An estimate of global anthrax prevalence in livestock: A meta-analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:qjMakFHDy7sC,CVd5LiYAAAAJ:qjMakFHDy7sC,"B Sushma, S Shedole, KP Suresh, G Leena, SS Patil, G Srikantha","Veterinary world 14 (5), 1263, 2021",2021,42.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17442519151727691533,https://serpapi.com/search.json?cites=17442519151727691533&engine=google_scholar&hl=en,17442519151727691533
"Disease prediction model to assess the impact of changes in precipitation level on the risk of anthrax infectiousness among the livestock hosts in Karnataka, India",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:d1gkVwhDpl0C,CVd5LiYAAAAJ:d1gkVwhDpl0C,"S Bylaiah, S Shedole, KP Suresh, L Gowda, B Shivananda, C Shivamallu, ...","Int. J. Spec. Educ 37, 711-727, 2022",2022,15.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5724423934908854101,https://serpapi.com/search.json?cites=5724423934908854101&engine=google_scholar&hl=en,5724423934908854101
A new methodology to comprehend the effect of El Niño and La Niña oscillation in early warning of anthrax epidemic among livestock,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:UeHWp8X0CEIC,CVd5LiYAAAAJ:UeHWp8X0CEIC,"KP Suresh, S Bylaiah, S Patil, M Kumar, UB Indrabalan, BA Panduranga, ...","Zoonotic Diseases 2 (4), 267-290, 2022",2022,13.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9211962676225979672,https://serpapi.com/search.json?cites=9211962676225979672&engine=google_scholar&hl=en,9211962676225979672
Relative analysis of codon usage and nucleotide bias between anthrax toxin genes subsist Inpxo1 plasmid of bacillus anthracis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:2osOgNQ5qMEC,CVd5LiYAAAAJ:2osOgNQ5qMEC,"S Bylaiah, S Shedole, KP Suresh, L Gowda, SS Patil, UB Indrabalan, ...","Annals of the Romanian Society for Cell Biology 25 (4), 5758-5774, 2021",2021,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15493328044182751607,https://serpapi.com/search.json?cites=15493328044182751607&engine=google_scholar&hl=en,15493328044182751607
"Analysis of Codon Usage Bias in Cya, Lef, and Pag Genes Exists in px01 Plasmid of Bacillus Anthracis",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:u-x6o8ySG0sC,CVd5LiYAAAAJ:u-x6o8ySG0sC,"S Bylaiah, S Shedole, KP Suresh, L Gowda, SS Patil, UB Indrabalan","ICT analysis and applications, 1-9, 2022",2022,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5414356916354450266,https://serpapi.com/search.json?cites=5414356916354450266&engine=google_scholar&hl=en,5414356916354450266
"Estimation Of The Basic Reproduction Number To Assess The Impact Of Precipitation Change On The Risk Of An Anthrax Outbreak Among Livestock In Karnataka, India.",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:9yKSN-GCB0IC,CVd5LiYAAAAJ:9yKSN-GCB0IC,"B Sushma, S Shedole, KP Suresh, G Leena, MK GS, SS Patil","Webology 19 (2), 2022",2022,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13510295408622514795,https://serpapi.com/search.json?cites=13510295408622514795&engine=google_scholar&hl=en,13510295408622514795
Predicting Human Personality using Multimedia by Employing Machine Learning Technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:IjCSPb-OGe4C,CVd5LiYAAAAJ:IjCSPb-OGe4C,"S Akshata Bhayyar, P Kiran, S Bylaiah, P Kiran","Seybold Report 18 (9), 102-120, 2023",2023,2.0,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7214454705532768000,13246967395123727908",https://serpapi.com/search.json?cites=7214454705532768000%2C13246967395123727908&engine=google_scholar&hl=en,"7214454705532768000,13246967395123727908"
"Application of machine learning models for risk estimation and risk prediction of classical swine fever in Assam, India",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:Y0pCki6q_DkC,CVd5LiYAAAAJ:Y0pCki6q_DkC,"MBAD Kuralayanapalya Puttahonnappa Suresh, Nagendra Nath Barman, Tarushree ...","VirusDisease, doi.org/10.1007/s13337-023-00847-6, 2023",2023,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2910248214375564063,https://serpapi.com/search.json?cites=2910248214375564063&engine=google_scholar&hl=en,2910248214375564063
Advanced data analysis and data mining model for Internet of Things in smart city: A Survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:eQOLeE2rZwMC,CVd5LiYAAAAJ:eQOLeE2rZwMC,"S Seema, B Sushma","Australian Journal of Wireless Technologies, Mobility and Security 1, 2019",2019,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15715605824185351721,https://serpapi.com/search.json?cites=15715605824185351721&engine=google_scholar&hl=en,15715605824185351721
"Comprehensive Spatial-Temporal and Risk Factor Insights for Optimizing Livestock Anthrax Vaccination Strategies in Karnataka, India",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:WF5omc3nYNoC,CVd5LiYAAAAJ:WF5omc3nYNoC,"J Anandakumar, KP Suresh, AV Patil, CA Jagadeesh, S Bylaiah, SS Patil, ...","Vaccines 12 (9), 1081, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10468237039625514975,https://serpapi.com/search.json?cites=10468237039625514975&engine=google_scholar&hl=en,10468237039625514975
Optimizing Dragon Fruit Quality and Maturity Classification Through Deep Learning Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CVd5LiYAAAAJ&pagesize=100&citation_for_view=CVd5LiYAAAAJ:0EnyYjriUFMC,CVd5LiYAAAAJ:0EnyYjriUFMC,"N Pallavi, P Vijayakarthik, S Bylaiah","SN Computer Science 6 (6), 652, 2025",2025,,,,
