title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
A study on energy efficient routing protocols in wireless sensor networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:u5HHmVD_uO8C,_gNJRewAAAAJ:u5HHmVD_uO8C,"MR Mundada, S Kiran, S Khobanna, RN Varsha, SA George","International Journal of Distributed and Parallel Systems (IJDPS) Vol 3, 311-330, 2012",2012,111.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9266852600459065861,https://serpapi.com/search.json?cites=9266852600459065861&engine=google_scholar&hl=en,9266852600459065861
Predictive analysis to improve crop yield using a neural network model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:YOwf2qJgpHMC,_gNJRewAAAAJ:YOwf2qJgpHMC,"S Kulkarni, SN Mandal, GS Sharma, MR Mundada","2018 international conference on advances in computing, communications and …, 2018",2018,51.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16099264439251401799,https://serpapi.com/search.json?cites=16099264439251401799&engine=google_scholar&hl=en,16099264439251401799
Mayfly taylor optimisation‐based scheduling algorithm with deep reinforcement learning for dynamic scheduling in fog‐cloud computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:hFOr9nPyWt4C,_gNJRewAAAAJ:hFOr9nPyWt4C,"G Shruthi, MR Mundada, BJ Sowmya, S Supreeth","Applied computational intelligence and soft computing 2022 (1), 2131699, 2022",2022,49.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10836473981461430931,https://serpapi.com/search.json?cites=10836473981461430931&engine=google_scholar&hl=en,10836473981461430931
Early prediction of chronic disease using an efficient machine learning algorithm through adaptive probabilistic divergence based feature selection approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:kNdYIx-mwKoC,_gNJRewAAAAJ:kNdYIx-mwKoC,"S Hegde, MR Mundada","International Journal of Pervasive Computing and Communications 17 (1), 20-36, 2021",2021,36.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6014763736388815981,https://serpapi.com/search.json?cites=6014763736388815981&engine=google_scholar&hl=en,6014763736388815981
Energy aware multi-hop multi-path hierarchical (EAMMH) routing protocol for wireless sensor networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:u-x6o8ySG0sC,_gNJRewAAAAJ:u-x6o8ySG0sC,"MR Mundada, V CyrilRaj, T Bhuvaneswari","European Journal of Scientific Research 88 (4), 520-530, 2012",2012,34.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7809286411485729342,https://serpapi.com/search.json?cites=7809286411485729342&engine=google_scholar&hl=en,7809286411485729342
Analysis of agricultural supply chain management for traceability of food products using blockchain-ethereum technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:qxL8FJ1GzNcC,_gNJRewAAAAJ:qxL8FJ1GzNcC,"S Pooja, MR Mundada","2020 IEEE International Conference on Distributed Computing, VLSI …, 2020",2020,30.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10116064243163360652,https://serpapi.com/search.json?cites=10116064243163360652&engine=google_scholar&hl=en,10116064243163360652
Design of a smart water-saving irrigation system for agriculture based on a wireless sensor network for better crop yield,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:_FxGoFyzp5QC,_gNJRewAAAAJ:_FxGoFyzp5QC,"Meeradevi, MA Supreetha, MR Mundada, JN Pooja","International Conference on Communications and Cyber Physical Engineering …, 2018",2018,30.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16419245226398064693,https://serpapi.com/search.json?cites=16419245226398064693&engine=google_scholar&hl=en,16419245226398064693
The resource allocation using weighted greedy knapsack based algorithm in an educational fog computing environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:mB3voiENLucC,_gNJRewAAAAJ:mB3voiENLucC,"G Shruthi, M Mundada, S Supreeth","International Journal of Emerging Technologies in Learning (iJET) 17 (18 …, 2022",2022,28.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6673156068212367453,https://serpapi.com/search.json?cites=6673156068212367453&engine=google_scholar&hl=en,6673156068212367453
Deep learning-based resource prediction and mutated leader algorithm enabled load balancing in fog computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:j3f4tGmQtD8C,_gNJRewAAAAJ:j3f4tGmQtD8C,"G Shruthi, MR Mundada, S Supreeth, B Gardiner","International Journal of computer networks and information security 15 (4 …, 2023",2023,26.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1214216246522915414,https://serpapi.com/search.json?cites=1214216246522915414&engine=google_scholar&hl=en,1214216246522915414
Design and development of efficient techniques for leaf disease detection using deep convolutional neural networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_gNJRewAAAAJ&pagesize=100&citation_for_view=_gNJRewAAAAJ:aqlVkmm33-oC,_gNJRewAAAAJ:aqlVkmm33-oC,"V Ranjana, MR Mundada, SP Sawkar, RS Bellad, PS Keerthi","2020 IEEE International conference on distributed computing, VLSI …, 2020",2020,23.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15129904439569790081,https://serpapi.com/search.json?cites=15129904439569790081&engine=google_scholar&hl=en,15129904439569790081
