title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Predictive Analytics to Prevent and Control Chronic Diseases,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:2osOgNQ5qMEC,1rg4Qg4AAAAJ:2osOgNQ5qMEC,SS 15. Kumari Deepika,"International Conference on Applied and Theoretical Computing and …, 2016",2016,126.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4972034234993503647,https://serpapi.com/search.json?cites=4972034234993503647&engine=google_scholar&hl=en,4972034234993503647
Aspect Based Feature Extraction and Sentiment Classification of Review Data sets using Incremental Machine learning Algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:LkGwnXOMwfcC,1rg4Qg4AAAAJ:LkGwnXOMwfcC,SS Rajalaxmi Hegde,"International Conference on Advances in Electrical , Electronics …, 2017",2017,38.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3924779768021998807,https://serpapi.com/search.json?cites=3924779768021998807&engine=google_scholar&hl=en,3924779768021998807
Air pollution control model using machine learning and IoT techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:4DMP91E08xMC,1rg4Qg4AAAAJ:4DMP91E08xMC,"C Shetty, BJ Sowmya, S Seema, KG Srinivasa","Advances in Computers 117 (1), 187-218, 2020",2020,31.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16136109367042103471,https://serpapi.com/search.json?cites=16136109367042103471&engine=google_scholar&hl=en,16136109367042103471
Leveraging deep learning techniques and integrated omics data for tailored treatment of breast cancer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:NMxIlDl6LWMC,1rg4Qg4AAAAJ:NMxIlDl6LWMC,"D Khan, S Shedole","Journal of Personalized Medicine 12 (5), 674, 2022",2022,23.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4041963283205728688,https://serpapi.com/search.json?cites=4041963283205728688&engine=google_scholar&hl=en,4041963283205728688
A Machine Learning Approach for Environmental Assessment on Air Quality and Mitigation Strategy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:J_g5lzvAfSwC,1rg4Qg4AAAAJ:J_g5lzvAfSwC,"C Shetty, S Seema, BJ Sowmya, R Nandalike, S Supreeth, D P, R S, ...","Journal of Engineering 2024 (1), 2893021, 2024",2024,13.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1282459176450294062,https://serpapi.com/search.json?cites=1282459176450294062&engine=google_scholar&hl=en,1282459176450294062
Utility system for premature plant disease detection using machine learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:hC7cP41nSMkC,1rg4Qg4AAAAJ:hC7cP41nSMkC,"BJ Sowmya, C Shetty, S Seema, KG Srinivasa","Hybrid Computational Intelligence, 149-172, 2020",2020,10.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4624785911241664172,https://serpapi.com/search.json?cites=4624785911241664172&engine=google_scholar&hl=en,4624785911241664172
Relative analysis of codon usage and nucleotide bias between anthrax toxin genes subsist Inpxo1 plasmid of bacillus anthracis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:RHpTSmoSYBkC,1rg4Qg4AAAAJ:RHpTSmoSYBkC,"S Bylaiah, S Shedole, KP Suresh, L Gowda, SS Patil, UB Indrabalan, ...","Annals of the Romanian Society for Cell Biology 25 (4), 5758-5774, 2021",2021,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15493328044182751607,https://serpapi.com/search.json?cites=15493328044182751607&engine=google_scholar&hl=en,15493328044182751607
Deep learning models for analysis of traffic and crowd management from surveillance videos,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:QIV2ME_5wuYC,1rg4Qg4AAAAJ:QIV2ME_5wuYC,"S Seema, S Goutham, S Vasudev, RR Putane","Progress in Computing, Analytics and Networking: Proceedings of ICCAN 2019 …, 2020",2020,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11357806173496326425,https://serpapi.com/search.json?cites=11357806173496326425&engine=google_scholar&hl=en,11357806173496326425
An efficient framework of data mining and its analytics on massive streams of big data repositories,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:hqOjcs7Dif8C,1rg4Qg4AAAAJ:hqOjcs7Dif8C,"DN Disha, BJ Sowmya, S Seema","2016 IEEE Distributed Computing, VLSI, Electrical Circuits and Robotics …, 2016",2016,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12416266282991306272,https://serpapi.com/search.json?cites=12416266282991306272&engine=google_scholar&hl=en,12416266282991306272
Retracted: Relevance Feature Discovery in Text Mining Using NLP,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:YFjsv_pBGBYC,1rg4Qg4AAAAJ:YFjsv_pBGBYC,"DA Naik, S Mythreyan, S Seema","2022 3rd International Conference for Emerging Technology (INCET), 1-6, 2022",2022,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4785453279298246867,https://serpapi.com/search.json?cites=4785453279298246867&engine=google_scholar&hl=en,4785453279298246867
Fake news detection using LSTM neural network augmented with SGD classifier,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:ZeXyd9-uunAC,1rg4Qg4AAAAJ:ZeXyd9-uunAC,"BJ Sowmya, CS Nikhil Jain, S Seema, S KG","Solid State Technology 63 (6), 6985-9665, 2020",2020,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3627569884399401561,https://serpapi.com/search.json?cites=3627569884399401561&engine=google_scholar&hl=en,3627569884399401561
Data analysis of road traffic accidents to minimize the rate of accidents,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:4TOpqqG69KYC,1rg4Qg4AAAAJ:4TOpqqG69KYC,"PV Krishnan, VC Sheel, MVS Viswanadh, C Shetty, S Seema","2018 3rd International Conference on Computational Systems and Information …, 2018",2018,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=280642501185857612,https://serpapi.com/search.json?cites=280642501185857612&engine=google_scholar&hl=en,280642501185857612
Air pollution control model using machine learning and IoT techniques-ScienceDirect,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:CHSYGLWDkRkC,1rg4Qg4AAAAJ:CHSYGLWDkRkC,"C Shetty, BJ Sowmya, S Seema","Advances in Computers 117 (1), 187-218, 2020",2020,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15946598566101934521,https://serpapi.com/search.json?cites=15946598566101934521&engine=google_scholar&hl=en,15946598566101934521
IOT and data analytics solution for smart agriculture,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:3fE2CSJIrl8C,1rg4Qg4AAAAJ:3fE2CSJIrl8C,"BJ Sowmya, C Shetty, NV Cholappagol, S Seema","The Rise of Fog Computing in the Digital Era, 210-237, 2019",2019,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2645475074968401650,https://serpapi.com/search.json?cites=2645475074968401650&engine=google_scholar&hl=en,2645475074968401650
Data analytic techniques for developing decision support system on agrometeorological parameters for farmers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:mVmsd5A6BfQC,1rg4Qg4AAAAJ:mVmsd5A6BfQC,"BJ Sowmya, S Seema, KG Srinivasa","International Journal of Cognitive Informatics and Natural Intelligence …, 2020",2020,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2362181795341226867,https://serpapi.com/search.json?cites=2362181795341226867&engine=google_scholar&hl=en,2362181795341226867
Utility System for Elevating Pre and Post Production of Crops,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:9ZlFYXVOiuMC,1rg4Qg4AAAAJ:9ZlFYXVOiuMC,"S Roy, BJ Sowmya, S Seema, S Rajeshwari, MS Vinutha","2019 IEEE International Conference on Distributed Computing, VLSI …, 2019",2019,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14196239816847829469,https://serpapi.com/search.json?cites=14196239816847829469&engine=google_scholar&hl=en,14196239816847829469
Prediction of bipolar disorder using machine learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:BqipwSGYUEgC,1rg4Qg4AAAAJ:BqipwSGYUEgC,"DN Disha, S Seema, US Sharada","2022 2nd International Conference on Intelligent Technologies (CONIT), 1-5, 2022",2022,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6186441310215604017,https://serpapi.com/search.json?cites=6186441310215604017&engine=google_scholar&hl=en,6186441310215604017
Computer Vision and IoT-Based Automated Hydroponic Farms in Urban Areas: A Soilless Cultivation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:JV2RwH3_ST0C,1rg4Qg4AAAAJ:JV2RwH3_ST0C,"BJ Sowmya, S Seema, HR Chetan Gowda, OS Ajay, OH Nikith, ...","International Journal of Social Ecology and Sustainable Development (IJSESD …, 2022",2022,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8781548745003943970,https://serpapi.com/search.json?cites=8781548745003943970&engine=google_scholar&hl=en,8781548745003943970
Efficient facial expression recognition using deep learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:maZDTaKrznsC,1rg4Qg4AAAAJ:maZDTaKrznsC,"S Seema, BJ Sowmya, P Chandrika, D Kumutha","Deep Learning Applications for Cyber-Physical Systems, 99-118, 2022",2022,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17498614231627871787,https://serpapi.com/search.json?cites=17498614231627871787&engine=google_scholar&hl=en,17498614231627871787
A Novel Approach for Sentiment Analysis Using Deep Recurrent Networks and Sequence Modeling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:iH-uZ7U-co4C,1rg4Qg4AAAAJ:iH-uZ7U-co4C,SS Rajalaxmi P Baddur,"Recent Patents on Engineering 14 (3), 403-411, 2020",2020,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1580622254601298655,https://serpapi.com/search.json?cites=1580622254601298655&engine=google_scholar&hl=en,1580622254601298655
Utility system for farmers using data analytics and Blockchain–KrishiCoin,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:7PzlFSSx8tAC,1rg4Qg4AAAAJ:7PzlFSSx8tAC,"BJ Sowmya, S Seema, KG Srinivasa","Journal of Statistics and Management Systems 23 (6), 1023-1036, 2020",2020,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1725442111315193887,https://serpapi.com/search.json?cites=1725442111315193887&engine=google_scholar&hl=en,1725442111315193887
Accelerated deep learning in proteomics—a review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:j3f4tGmQtD8C,1rg4Qg4AAAAJ:j3f4tGmQtD8C,"D Khan, S Shedole","Innovation in Electrical Power Engineering, Communication, and Computing …, 2020",2020,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4714201840135858384,https://serpapi.com/search.json?cites=4714201840135858384&engine=google_scholar&hl=en,4714201840135858384
Bioacoustics Monitoring to Improve Conservation Efforts for Endangered Species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:NaGl4SEjCO4C,1rg4Qg4AAAAJ:NaGl4SEjCO4C,"MW Changapur, S Seema","2023 7th International Conference on Computation System and Information …, 2023",2023,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11792010377933787513,https://serpapi.com/search.json?cites=11792010377933787513&engine=google_scholar&hl=en,11792010377933787513
Nearest neighbour-based feature selection and classification approach for analysing sentiments,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:blknAaTinKkC,1rg4Qg4AAAAJ:blknAaTinKkC,"R Hegde, S Seema","International Journal of Bioinformatics Research and Applications 18 (1-2 …, 2022",2022,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18095062160597847118,https://serpapi.com/search.json?cites=18095062160597847118&engine=google_scholar&hl=en,18095062160597847118
Deep learning approaches for sentiment analysis challenges and future issues,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:k_IJM867U9cC,1rg4Qg4AAAAJ:k_IJM867U9cC,S Seema,"deep learning applications for cyber-physical systems, 27-50, 2022",2022,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9447312147035158256,https://serpapi.com/search.json?cites=9447312147035158256&engine=google_scholar&hl=en,9447312147035158256
Feedback collection and sentiment analysis on the product reviews,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:M3NEmzRMIkIC,1rg4Qg4AAAAJ:M3NEmzRMIkIC,"P Sunagar, DA Naik, V Sangeetha, A Kanavalli, S Seema","2021 IEEE international conference on mobile networks and wireless …, 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1820749801930641760,https://serpapi.com/search.json?cites=1820749801930641760&engine=google_scholar&hl=en,1820749801930641760
Smart healthcare: Using IoT and machine learning-based analytics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:hFOr9nPyWt4C,1rg4Qg4AAAAJ:hFOr9nPyWt4C,"P Sunagar, R Hanumantharaju, D Pradeep Kumar, BJ Sowmya, S Seema, ...","Artificial Intelligence for Information Management: A Healthcare Perspective …, 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6133401946535978754,https://serpapi.com/search.json?cites=6133401946535978754&engine=google_scholar&hl=en,6133401946535978754
An estimate of global anthrax prevalence in livestock: A meta-analysis. Veterinary World 14 (5): 1263-1271,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:_Qo2XoVZTnwC,1rg4Qg4AAAAJ:_Qo2XoVZTnwC,"B Sushma, S Shedole, KP Suresh, G Leena, SS Patil, G Srikantha","Abstract, 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=557031637239434149,https://serpapi.com/search.json?cites=557031637239434149&engine=google_scholar&hl=en,557031637239434149
A feasible dashboard to predict patent mining using classification algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:dhFuZR0502QC,1rg4Qg4AAAAJ:dhFuZR0502QC,"DA Naik, CJ Brunda, S Seema","Procedia Computer Science 167, 2011-2021, 2020",2020,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4089201901585798648,https://serpapi.com/search.json?cites=4089201901585798648&engine=google_scholar&hl=en,4089201901585798648
Exploration and implementation of classification algorithms for patent classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:YOwf2qJgpHMC,1rg4Qg4AAAAJ:YOwf2qJgpHMC,"DA Naik, S Seema, G Singh, A Singh","Computing and Network Sustainability: Proceedings of IRSCNS 2018, 119-128, 2019",2019,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2108655165702263054,https://serpapi.com/search.json?cites=2108655165702263054&engine=google_scholar&hl=en,2108655165702263054
Advanced data analysis and data mining model for Internet of Things in smart city: A Survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:Zph67rFs4hoC,1rg4Qg4AAAAJ:Zph67rFs4hoC,"S Seema, B Sushma","Australian Journal of Wireless Technologies, Mobility and Security 1, 2019",2019,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15715605824185351721,https://serpapi.com/search.json?cites=15715605824185351721&engine=google_scholar&hl=en,15715605824185351721
Efficient decision support system on agrometeorological data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:ULOm3_A8WrAC,1rg4Qg4AAAAJ:ULOm3_A8WrAC,"A Teli, A Amith, K Bhanu Kaushik, K Gopala Krishna Vasanth, BJ Sowmya, ...","International Conference on Intelligent Systems Design and Applications, 875-890, 2018",2018,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16433046527353327612,https://serpapi.com/search.json?cites=16433046527353327612&engine=google_scholar&hl=en,16433046527353327612
Performance Evaluation and Feature Vector Extraction of Review Data Sets Using Evolutionary Based SVM Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:_kc_bZDykSQC,1rg4Qg4AAAAJ:_kc_bZDykSQC,"R Hegde, S Seema","2018 9th International Conference on Computing, Communication and Networking …, 2018",2018,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=205196843724382742,https://serpapi.com/search.json?cites=205196843724382742&engine=google_scholar&hl=en,205196843724382742
Classification Of Evolving Stream Data Using Improved Ensemble Classifier,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:MXK_kJrjxJIC,1rg4Qg4AAAAJ:MXK_kJrjxJIC,S Seema,"International Journal of Data Mining & Knowledge Management Process 2 (4), 1, 2012",2012,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17622085094139314718,https://serpapi.com/search.json?cites=17622085094139314718&engine=google_scholar&hl=en,17622085094139314718
Ensemble Classifiers with Stepwise feature Selection for Classification of Cancer Data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:UebtZRa9Y70C,1rg4Qg4AAAAJ:UebtZRa9Y70C,"S Seema, KG Srinivasa, S Jois, C Bhavana","International Journal of Pharmaceutical Science and Health Care 6 (2), 48-61, 2012",2012,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10083513566997869374,https://serpapi.com/search.json?cites=10083513566997869374&engine=google_scholar&hl=en,10083513566997869374
Enhancing Emotion Recognition using Advanced Speech Processing Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:1sJd4Hv_s6UC,1rg4Qg4AAAAJ:1sJd4Hv_s6UC,"R Hegde, SK Hegde","2025 International Conference on Multi-Agent Systems for Collaborative …, 2025",2025,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2453895372153493034,https://serpapi.com/search.json?cites=2453895372153493034&engine=google_scholar&hl=en,2453895372153493034
DeepDerm: Elevating Precision in Dermatological Diagnosis with Enhanced CNN,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:HoB7MX3m0LUC,1rg4Qg4AAAAJ:HoB7MX3m0LUC,"MR Mundada, S Seema, SF Student","2024 15th International Conference on Computing Communication and Networking …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9340345377766260922,https://serpapi.com/search.json?cites=9340345377766260922&engine=google_scholar&hl=en,9340345377766260922
Deep Learning Applications for Cyber-physical Systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:RYcK_YlVTxYC,1rg4Qg4AAAAJ:RYcK_YlVTxYC,"MR Mundada, S Seema, S KG, M Shilpa","IGI Global, 2021",2021,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2542465776090735064,https://serpapi.com/search.json?cites=2542465776090735064&engine=google_scholar&hl=en,2542465776090735064
Prediction of Autism in children with down’s syndrome using machine learning algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:isC4tDSrTZIC,1rg4Qg4AAAAJ:isC4tDSrTZIC,"DN Disha, S Seema, KA Shastry","Recent Advances in Artificial Intelligence and Data Engineering: Select …, 2021",2021,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17415331774320716295,https://serpapi.com/search.json?cites=17415331774320716295&engine=google_scholar&hl=en,17415331774320716295
Sentiment analysis of healthcare reviews using context-based feature weight embedding technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:r0BpntZqJG4C,1rg4Qg4AAAAJ:r0BpntZqJG4C,S Seema,"International Journal of e-Collaboration (IJeC) 17 (4), 1-15, 2021",2021,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5054115361454337295,https://serpapi.com/search.json?cites=5054115361454337295&engine=google_scholar&hl=en,5054115361454337295
A Utility System for Farmers to Build Decision Support System on Agrometeorological Data Using Machine Learning Algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:-f6ydRqryjwC,1rg4Qg4AAAAJ:-f6ydRqryjwC,"BJ Sowmya, A Singh, Z Khan, B Sathvik, S Seema, KG Srinivasa","Proceedings of 3rd International Conference on Computing Informatics and …, 2021",2021,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11091086844273397946,https://serpapi.com/search.json?cites=11091086844273397946&engine=google_scholar&hl=en,11091086844273397946
Large Scale Efficient Clustering Using DBSCAN and Ensemble Techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:TQgYirikUcIC,1rg4Qg4AAAAJ:TQgYirikUcIC,"D Pradeep Kumar, BJ Sowmya, R Hanumantharaju, A Kanavalli, ...","International Conference on Advanced Informatics for Computing Research, 622-636, 2020",2020,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10746507139027205587,https://serpapi.com/search.json?cites=10746507139027205587&engine=google_scholar&hl=en,10746507139027205587
Machine learning techniques on agro meteorological parameters to predict the crop yield in support of building decision support system to farmer’s community,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:qUcmZB5y_30C,1rg4Qg4AAAAJ:qUcmZB5y_30C,"BJ Sowmya, S Seema, D Monteiro, Z Hossain, Z Paymaster, A Tomar","Journal of Physics: Conference Series 1706 (1), 012143, 2020",2020,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5161908313986447243,https://serpapi.com/search.json?cites=5161908313986447243&engine=google_scholar&hl=en,5161908313986447243
An Image Processing and Machine Learning Approach for Early Detection of Diseased Leaves,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:Wp0gIr-vW9MC,1rg4Qg4AAAAJ:Wp0gIr-vW9MC,"BJ Sowmya, C Shetty, S Seema, KG Srinivasa","International Journal of Cyber-Physical Systems (IJCPS) 1 (2), 56-73, 2019",2019,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4733126567705945818,https://serpapi.com/search.json?cites=4733126567705945818&engine=google_scholar&hl=en,4733126567705945818
Exploration and implementation of classification algorithms for patent classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:KlAtU1dfN6UC,1rg4Qg4AAAAJ:KlAtU1dfN6UC,"G Singh, A Singh, DA Naik, S Seema","International Conference on Intelligent Data Communication Technologies and …, 2018",2018,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5810066172486039513,https://serpapi.com/search.json?cites=5810066172486039513&engine=google_scholar&hl=en,5810066172486039513
Machine Learning Approach to Detect Tuberculosis in patients with or without HIV co-infection – A Survey,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=1rg4Qg4AAAAJ&pagesize=100&citation_for_view=1rg4Qg4AAAAJ:W7OEmFMy1HYC,1rg4Qg4AAAAJ:W7OEmFMy1HYC,SS Ashvini D V,"International Journal of Computer Science and Information Technology 6 (3 …, 2015",2015,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14869071360871298063,https://serpapi.com/search.json?cites=14869071360871298063&engine=google_scholar&hl=en,14869071360871298063
