title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
A Comparison of Data Mining Techniques for Intrusion Detection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:hqOjcs7Dif8C,R9mwtaUAAAAJ:hqOjcs7Dif8C,RCANPS Avadhani,"IEEE International Conference on Advanced Communication Control and …, 2012",2012,24.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13517059678966947107,https://serpapi.com/search.json?cites=13517059678966947107&engine=google_scholar&hl=en,13517059678966947107
Hyperbolic feature-based sarcasm detection in Telugu conversation sentences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:bnK-pcrLprsC,R9mwtaUAAAAJ:bnK-pcrLprsC,"SK Bharti, R Naidu, KS Babu","Journal of Intelligent Systems 30 (1), 73-89, 2020",2020,19.0,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11164488023751318335,13612218812047020149",https://serpapi.com/search.json?cites=11164488023751318335%2C13612218812047020149&engine=google_scholar&hl=en,"11164488023751318335,13612218812047020149"
Reliable and accurate plant leaf disease detection with treatment suggestions using enhanced deep learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:vRqMK49ujn8C,R9mwtaUAAAAJ:vRqMK49ujn8C,"R Ramamoorthy, E Saravana Kumar, RCA Naidu, K Shruthi","SN Computer Science 4 (2), 158, 2023",2023,17.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8273543279900310859,https://serpapi.com/search.json?cites=8273543279900310859&engine=google_scholar&hl=en,8273543279900310859
IoT based innovative teaching learning using smart class rooms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:sSrBHYA8nusC,R9mwtaUAAAAJ:sSrBHYA8nusC,"M Ashwin, ES Kumar, RCA Naidu, R Ramamoorthy","2023 International conference on sustainable computing and data …, 2023",2023,14.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3882541103270874024,https://serpapi.com/search.json?cites=3882541103270874024&engine=google_scholar&hl=en,3882541103270874024
Classification of COVID-19 with belief functions and deep neural network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:tS2w5q8j5-wC,R9mwtaUAAAAJ:tS2w5q8j5-wC,"E Saravana Kumar, P Ramkumar, HS Naveen, R Ramamoorthy, ...","SN Computer Science 4 (2), 178, 2023",2023,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9844351471815733979,https://serpapi.com/search.json?cites=9844351471815733979&engine=google_scholar&hl=en,9844351471815733979
Hybrid multihop routing mechanism with intelligent transportation system architecture for efficient routing in VANETs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:4fKUyHm3Qg0C,R9mwtaUAAAAJ:4fKUyHm3Qg0C,"R Ramamoorthy, S Kumar, RCA Naidu","2022 international conference on disruptive technologies for multi …, 2022",2022,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8227137982131033831,https://serpapi.com/search.json?cites=8227137982131033831&engine=google_scholar&hl=en,8227137982131033831
GPS and RFID Based School Children Tracking System,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:ULOm3_A8WrAC,R9mwtaUAAAAJ:ULOm3_A8WrAC,"R Anusha, RCA Naidu","International Journal of Advanced Research in Computer Engineering …, 2016",2016,9.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10647773854524302114,https://serpapi.com/search.json?cites=10647773854524302114&engine=google_scholar&hl=en,10647773854524302114
IoT-based smart wearable devices using very large scale integration (VLSI) technology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:eJXPG6dFmWUC,R9mwtaUAAAAJ:eJXPG6dFmWUC,"M Ashwin, RCA Naidu, R Ramamoorthy, ES Kumar","International Conference on Soft Computing and Signal Processing, 155-164, 2024",2024,8.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18127173890858647854,https://serpapi.com/search.json?cites=18127173890858647854&engine=google_scholar&hl=en,18127173890858647854
Building SentiPhraseNet for sentiment analysis in Telugu,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:kRWSkSYxWN8C,R9mwtaUAAAAJ:kRWSkSYxWN8C,"R Naidu, SK Bharti, KS Babu","2018 15th IEEE India Council International Conference (INDICON), 1-6, 2018",2018,7.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2500575367414172002,https://serpapi.com/search.json?cites=2500575367414172002&engine=google_scholar&hl=en,2500575367414172002
Performance investigation of hybrid bio-inspired zone routing protocol over proactive and reactive routing protocols,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:fQNAKQ3IYiAC,R9mwtaUAAAAJ:fQNAKQ3IYiAC,"R Ramamoorthy, RCA Naidu, S Kumar","2023 International Conference on Sustainable Communication Networks and …, 2023",2023,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5381078271717543883,https://serpapi.com/search.json?cites=5381078271717543883&engine=google_scholar&hl=en,5381078271717543883
Secure privacy preserving of personal health records using attribute-based encryption in cloud computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:4OULZ7Gr8RgC,R9mwtaUAAAAJ:4OULZ7Gr8RgC,"R China Appala Naidu, A Srujan, K Meghana, K Srinivas Rao, ...","First International Conference on Artificial Intelligence and Cognitive …, 2018",2018,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17549536913206169379,https://serpapi.com/search.json?cites=17549536913206169379&engine=google_scholar&hl=en,17549536913206169379
A modern approach to design and integrate conceptual methods in video games with artificial intelligence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:fPk4N6BV_jEC,R9mwtaUAAAAJ:fPk4N6BV_jEC,"TASK Ishwarya, RCA Naidu, K Meghana, GP Reddy","Materials Today: Proceedings 4 (8), 9100-9106, 2017",2017,6.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14474086220456067846,https://serpapi.com/search.json?cites=14474086220456067846&engine=google_scholar&hl=en,14474086220456067846
Comprehensive analysis of cloud based databases,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:CHSYGLWDkRkC,R9mwtaUAAAAJ:CHSYGLWDkRkC,"ES Kumar, S Kesavan, RCA Naidu","IOP Conference Series: Materials Science and Engineering 1131 (1), 012021, 2021",2021,5.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2834173709938951257,https://serpapi.com/search.json?cites=2834173709938951257&engine=google_scholar&hl=en,2834173709938951257
Impact of Ant Colony Optimization on Optimal Routing for Vehicular Ad Hoc Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:Mojj43d5GZwC,R9mwtaUAAAAJ:Mojj43d5GZwC,"HKM Raghu Ramamoorthy, Anitha Velu, R China Appala Naidu, Asha Kumari A ...","5th International Conference on Communication, Computing & Industry 6.0 …, 2024",2024,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9388574628038203710,https://serpapi.com/search.json?cites=9388574628038203710&engine=google_scholar&hl=en,9388574628038203710
An empirical study on e-commerce site using unique ai based features and data science tools,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:8AbLer7MMksC,R9mwtaUAAAAJ:8AbLer7MMksC,"JJJ Kumari, A Singh, RCA Naidu, M Sathya, MR Sri","2023 4th International Conference on Electronics and Sustainable …, 2023",2023,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4853789206857733922,https://serpapi.com/search.json?cites=4853789206857733922&engine=google_scholar&hl=en,4853789206857733922
Movement record-oriented particle swarm optimization for resource allocation and solving job failure problems in cloud,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:VOx2b1Wkg3QC,R9mwtaUAAAAJ:VOx2b1Wkg3QC,"K Shruthi, RCA Naidu, R Ramamoorthy","Eur. Chem. Bull 12 (12), 392-403, 2023",2023,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8658238225453345559,https://serpapi.com/search.json?cites=8658238225453345559&engine=google_scholar&hl=en,8658238225453345559
An advanced trouble intimation and automatic prior notification system of locomotives and its conditions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:Zph67rFs4hoC,R9mwtaUAAAAJ:Zph67rFs4hoC,"RCA Naidu, G Nagababu, K Meghana, BSPR Naidu","2016 International Conference on Computational Techniques in Information and …, 2016",2016,4.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15443007221902993734,https://serpapi.com/search.json?cites=15443007221902993734&engine=google_scholar&hl=en,15443007221902993734
The video hiding technique based on DWT and genetic algorithm with boolean functions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=R9mwtaUAAAAJ&pagesize=100&citation_for_view=R9mwtaUAAAAJ:KlAtU1dfN6UC,R9mwtaUAAAAJ:KlAtU1dfN6UC,"G Sowmya, K Meghana, B Subbarayudu, RCA Naidu, G Keerthi","2016 2nd international conference on Next Generation Computing Technologies …, 2016",2016,3.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6345083390427926778,https://serpapi.com/search.json?cites=6345083390427926778&engine=google_scholar&hl=en,6345083390427926778
