title,authors,journal,year,description,pages,publisher,conference,total_citations
Research on software testing techniques and software automation testing tools,"K Sneha, GM Malle",,2017,,,,,"{'value': 148, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13853157292922477344', 'serpapi_link': 'https://serpapi.com/search.json?cites=13853157292922477344&engine=google_scholar&hl=en', 'cites_id': '13853157292922477344'}"
Fake product identification system using blockchain,"M Mallegowda, A Kanavalli, MN Thippeswamy, K Gupta, L Khandelwal, ...",,2022,,,,,"{'value': 6, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6754603596827625304', 'serpapi_link': 'https://serpapi.com/search.json?cites=6754603596827625304&engine=google_scholar&hl=en', 'cites_id': '6754603596827625304'}"
Prediction of air quality index using machine data learning on atmospheric.,"M Mallegowda, A Kanavalli, Y Verma, SJK Vamsi, T Mukesh, ...",,2021,,,,,"{'value': 6, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11911007836515714120', 'serpapi_link': 'https://serpapi.com/search.json?cites=11911007836515714120&engine=google_scholar&hl=en', 'cites_id': '11911007836515714120'}"
Intelligent transportation system based on the principles of service-oriented architecture,"M Mallegowda, V Nete, A Kanavalli",,2015,,,,,"{'value': 4, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11479735691235838307', 'serpapi_link': 'https://serpapi.com/search.json?cites=11479735691235838307&engine=google_scholar&hl=en', 'cites_id': '11479735691235838307'}"
The power of virtual reality-next-gen radiology training,"A Ahmed, S Rajarajeswari, M Mallegowda, N Subash",,2024,,,,,"{'value': 3, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17005399410760166343', 'serpapi_link': 'https://serpapi.com/search.json?cites=17005399410760166343&engine=google_scholar&hl=en', 'cites_id': '17005399410760166343'}"
Movement Mode Harmony Search Based Multi-objective Firefly Algorithm Feature Selection for Detecting the Security Threats in Virtual Machine.,"ANN Kumar, M Mallegowda, AVK Mohan, KN Shreenath, CK Raju",,2024,,,,,"{'value': 3, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17618222969393236106', 'serpapi_link': 'https://serpapi.com/search.json?cites=17618222969393236106&engine=google_scholar&hl=en', 'cites_id': '17618222969393236106'}"
SOA-Based Middleware Framework for IoT Applications,"M Mallegowda, P Sarashetti, A Kanavalli",,2022,,,,,"{'value': 3, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8377901378910942807,13514491288674616726', 'serpapi_link': 'https://serpapi.com/search.json?cites=8377901378910942807%2C13514491288674616726&engine=google_scholar&hl=en', 'cites_id': '8377901378910942807,13514491288674616726'}"
Fruit classification based on freshness,"M Mallegowda, RG Sanskar, N VISHVESHWARA, GA Safwan, J Vivek",,2024,,,,,"{'value': 2, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5324181466964239520', 'serpapi_link': 'https://serpapi.com/search.json?cites=5324181466964239520&engine=google_scholar&hl=en', 'cites_id': '5324181466964239520'}"
Crop-Wise precision farming with integration of ML and IoT,"M Mallegowda, A Kanavalli, SJ Patil, SS Kumar, VV Divate, MSV Patel",,2024,,,,,"{'value': 2, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8830684437882702403', 'serpapi_link': 'https://serpapi.com/search.json?cites=8830684437882702403&engine=google_scholar&hl=en', 'cites_id': '8830684437882702403'}"
Improving vehicle perception through image stitching: A serial and parallel evaluation,"M Mallegowda, NG Viswanath, N Polepalli, N Ganga",,2025,,,,,"{'value': 1, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12885134497790959559', 'serpapi_link': 'https://serpapi.com/search.json?cites=12885134497790959559&engine=google_scholar&hl=en', 'cites_id': '12885134497790959559'}"
Revolutionizing Knee Surgery Education Using Virtual Reality in Medical Training,"N Subash, M Mallegowda",,2024,,,,,"{'value': 1, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13303244671385790245', 'serpapi_link': 'https://serpapi.com/search.json?cites=13303244671385790245&engine=google_scholar&hl=en', 'cites_id': '13303244671385790245'}"
Enhancing Image Fidelity through Denoising and Style GAN Techniques with Serial and Parallel Computation,"M Mallegowda, P Rajodiya, S Samruddha, SA Alex, A Kanavalli",,2024,,,,,"{'value': 1, 'link': 'https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18429839204796467442', 'serpapi_link': 'https://serpapi.com/search.json?cites=18429839204796467442&engine=google_scholar&hl=en', 'cites_id': '18429839204796467442'}"
WebGPU: Comparing Parallelism Over Serial Execution in Web Graphics,"A Mallegowda, M., Hegde, T., Alex, S.A., Kanavalli",,2025,,,,,{'value': None}
Decrypting Faster: Synergizing Serial and Parallel Processing for Dictionary Attacks,"M Mallegowda, PK KR, MJ Peter, S Sadath, SU Farooq, A Kanavalli",,2025,,,,,{'value': None}
Optimizing Fine-Tuning Strategies for Large Language Models: A Comparative Study of Serial and Parallel Computation Paradigms,"M Mallegowda, AR Kumar, SM Kumari, T Rao, TS Shetty",,2025,,,,,{'value': None}
Intrusion Detection System using Hybrid Reverse-Binary Meerkat Optimization Algorithm and Support Vector Machine with Improved Random Forest.,"NMM Sathynarayna Rao, KN Shreenath, NKA Nemirajaiah, AVK Mohan",,2025,,,,,{'value': None}
Analysis of optimization Techniques for Dynamic Neural Networks,"M Mallegowda, S Nair, S Khirwal, M Animesh, V Mishra, A Kanavalli",,2025,,,,,{'value': None}
Developing Virtual Reality Applications in Medical Education for Osteotomy Knee Surgery,"N Subash, M Mallegowda, S Rajarajeswari, A Ahmed",,2024,,,,,{'value': None}
Advancing Road Safety: Deep Learning-Powered Real-Time Driver State Assessment and R-CNN for Proximity Vehicle Monitoring,"M Mallegowda, S Kumaran, V Aditya Raj, SS Kumar, RH Gowda",,2024,,,,,{'value': None}
Interpreting Fake Reviews Using Machine Learning and Deep Learning Check for updates,"MQ Bhat, DS Jayalakshmi, M Mallegowda, J Geetha",,2024,,,,,{'value': None}
WebGPU: Comparing Parallelism Over Serial Execution in Web Graphics,"M Mallegowda, T Hegde, SA Alex, A Kanavalli",,2024,,,,,{'value': None}
Efficiency Comparison of Parallel and Serial Computation Techniques for Multi-Regional Weather Data Aggregation,"M Mallegowda, V Hajjarge, VV Divate, K Mohan, A Kanavalli",,2024,,,,,{'value': None}
Serial vs parallel execution of Principal Component Analysis using Singular Value Decomposition,"M Mallegowda, R Tanupriya, C Vishnupriya",,2024,,,,,{'value': None}
Comparative Study on Serial and Parallel Implementation of Face Detection,"M Mallegowda, K Theertha, SD Varsha",,2024,,,,,{'value': None}
A Comparative Analysis of Serial and Parallel Data Mining Approaches for Customer Churn Prediction in Telecom,"M Mallegowda, R Sanjana, S Ramineni",,2023,,,,,{'value': None}
Optimizing Database Systems for Parallel Processing in Multi-core Environments,"M Mallegowda, SA Alex, S Srivastava, S Singh, A kanavalli",,2023,,,,,{'value': None}
