title,authors,journal,year,description,pages,publisher,conference,total_citations
Research on software testing techniques and software automation testing tools,"K Sneha, GM Malle","2017 international conference on energy, communication, data analytics and …, 2017",2017,,,,,148
Fake product identification system using blockchain,"M Mallegowda, A Kanavalli, MN Thippeswamy, K Gupta, L Khandelwal, ...","2022 4th International Conference on Circuits, Control, Communication and …, 2022",2022,,,,,6
Prediction of air quality index using machine data learning on atmospheric.,"M Mallegowda, A Kanavalli, Y Verma, SJK Vamsi, T Mukesh, ...",,2021,,,,,6
Intelligent transportation system based on the principles of service-oriented architecture,"M Mallegowda, V Nete, A Kanavalli","2015 Twelfth International Conference on Wireless and Optical Communications …, 2015",2015,,,,,4
The power of virtual reality-next-gen radiology training,"A Ahmed, S Rajarajeswari, M Mallegowda, N Subash","2024 15th International Conference on Computing Communication and Networking …, 2024",2024,,,,,3
Movement Mode Harmony Search Based Multi-objective Firefly Algorithm Feature Selection for Detecting the Security Threats in Virtual Machine.,"ANN Kumar, M Mallegowda, AVK Mohan, KN Shreenath, CK Raju","International Journal of Intelligent Engineering & Systems 17 (1), 2024",2024,,,,,3
SOA-Based Middleware Framework for IoT Applications,"M Mallegowda, P Sarashetti, A Kanavalli","Proceedings of Second International Conference on Sustainable Expert Systems …, 2022",2022,,,,,3
Fruit classification based on freshness,"M Mallegowda, RG Sanskar, N VISHVESHWARA, GA Safwan, J Vivek","2024 International Conference on Emerging Techniques in Computational …, 2024",2024,,,,,2
Crop-Wise precision farming with integration of ML and IoT,"M Mallegowda, A Kanavalli, SJ Patil, SS Kumar, VV Divate, MSV Patel","International Conference on Advances in Information Communication Technology …, 2024",2024,,,,,2
Improving vehicle perception through image stitching: A serial and parallel evaluation,"M Mallegowda, NG Viswanath, N Polepalli, N Ganga","2025 4th OPJU International Technology Conference (OTCON) on Smart Computing …, 2025",2025,,,,,1
Revolutionizing Knee Surgery Education Using Virtual Reality in Medical Training,"N Subash, M Mallegowda","2024 IEEE International Conference on Electronics, Computing and …, 2024",2024,,,,,1
Enhancing Image Fidelity through Denoising and Style GAN Techniques with Serial and Parallel Computation,"M Mallegowda, P Rajodiya, S Samruddha, SA Alex, A Kanavalli","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,,,,,1
WebGPU: Comparing Parallelism Over Serial Execution in Web Graphics,"A Mallegowda, M., Hegde, T., Alex, S.A., Kanavalli","ICCAML 2024 2538, pp 219–224, 2025",2025,,,,,
Decrypting Faster: Synergizing Serial and Parallel Processing for Dictionary Attacks,"M Mallegowda, PK KR, MJ Peter, S Sadath, SU Farooq, A Kanavalli","2025 4th OPJU International Technology Conference (OTCON) on Smart Computing …, 2025",2025,,,,,
Optimizing Fine-Tuning Strategies for Large Language Models: A Comparative Study of Serial and Parallel Computation Paradigms,"M Mallegowda, AR Kumar, SM Kumari, T Rao, TS Shetty","2025 4th OPJU International Technology Conference (OTCON) on Smart Computing …, 2025",2025,,,,,
Intrusion Detection System using Hybrid Reverse-Binary Meerkat Optimization Algorithm and Support Vector Machine with Improved Random Forest.,"NMM Sathynarayna Rao, KN Shreenath, NKA Nemirajaiah, AVK Mohan","International Journal of Intelligent Engineering & Systems 18 (4), 2025",2025,,,,,
Analysis of optimization Techniques for Dynamic Neural Networks,"M Mallegowda, S Nair, S Khirwal, M Animesh, V Mishra, A Kanavalli","2025 International Conference on Intelligent and Innovative Technologies in …, 2025",2025,,,,,
Developing Virtual Reality Applications in Medical Education for Osteotomy Knee Surgery,"N Subash, M Mallegowda, S Rajarajeswari, A Ahmed","2024 15th International Conference on Computing Communication and Networking …, 2024",2024,,,,,
Advancing Road Safety: Deep Learning-Powered Real-Time Driver State Assessment and R-CNN for Proximity Vehicle Monitoring,"M Mallegowda, S Kumaran, V Aditya Raj, SS Kumar, RH Gowda","Doctoral Symposium on Computational Intelligence, 463-477, 2024",2024,,,,,
Interpreting Fake Reviews Using Machine Learning and Deep Learning Check for updates,"MQ Bhat, DS Jayalakshmi, M Mallegowda, J Geetha","Proceedings of World Conference on Information Systems for Business …, 2024",2024,,,,,
WebGPU: Comparing Parallelism Over Serial Execution in Web Graphics,"M Mallegowda, T Hegde, SA Alex, A Kanavalli","International Conference on Current Advancements in Machine Learning, 219-224, 2024",2024,,,,,
Efficiency Comparison of Parallel and Serial Computation Techniques for Multi-Regional Weather Data Aggregation,"M Mallegowda, V Hajjarge, VV Divate, K Mohan, A Kanavalli","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,,,,,
Serial vs parallel execution of Principal Component Analysis using Singular Value Decomposition,"M Mallegowda, R Tanupriya, C Vishnupriya","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,,,,,
Comparative Study on Serial and Parallel Implementation of Face Detection,"M Mallegowda, K Theertha, SD Varsha","2024 International Conference on Intelligent and Innovative Technologies in …, 2024",2024,,,,,
A Comparative Analysis of Serial and Parallel Data Mining Approaches for Customer Churn Prediction in Telecom,"M Mallegowda, R Sanjana, S Ramineni","International Research Journal on Advanced Science Hub 5 (12), 413-419, 2023",2023,,,,,
Optimizing Database Systems for Parallel Processing in Multi-core Environments,"M Mallegowda, SA Alex, S Srivastava, S Singh, A kanavalli","International Conference on Information Systems and Management Science, 459-469, 2023",2023,,,,,
Interpreting Fake Reviews Using Machine Learning and Deep Learning,"MQ Bhat, DS Jayalakshmi, M Mallegowda, J Geetha","World Conference on Information Systems for Business Management, 277-286, 2023",2023,,,,,
Cloud Storage Monitoring Using File Access Pattern and DeDuplication Techniques,at.el. Mallegowda M,"european chemical bulletin 12, 2728-2742, 2023",2023,,,,,
AI-Blockchain Electronic Health Records Management System,"Mallegowda M., Dr. Anita Kanavalli, Tata Mukesh, S. Jaya Krishna Vamsi ...","International Journal of Advanced Science and Technology 29 (3), 14578–14587, 2020",2020,,,,,
IoT based Solar Powered Irrigation System and Farm Monitoring,"AK Sindhu M R, Mallegowda M","International Journal of Innovative Technology and Exploring Engineering 8 …, 2019",2019,,,,,
Study of Leaf Disease using Deep Learning,"MM Sadhvik Reddy1 , Saumit Sandesh C2 , Srividya KA3 , Sandeep Reddy4 ...","International Journal of Computer Sciences and Engineering 7 (4), 1036-1040, 2019",2019,,,,,
IoT Based Helping Hands for Elders,"TJ Mallegowda M, Renukapriya K, S M Leelavathi, Sharvani Kulkarni","“Making of a Digital India-Renewed Challenges, Opportunities and Effective …, 2017",2017,,,,,
"Implementing RFID (Radio-frequency identification) in Waste Segregation, Collection and Disposal","MK Koushik. A.S, Mallegowda. M","“Making of a Digital India-Renewed Challenges, Opportunities and Effective …, 2017",2017,,,,,
A Vehicular Apprehension Scheme in Wireless Networks,"DAK Pramod S, Pradeep Kumar D, Mallegowda M","International Journal of Innovations & Advancement in Computer Science 6 (10 …, 2017",2017,,,,,
Time Evolving Rating Prediction with Privacy Preserving and Defending Sybil Attack in Online Services,MM Vinay Shankar S,"Imperial Journal of Interdisciplinary Research (IJIR) 2 (9), 2454-1362, 2016",2016,,,,,
